rank_tfidf,id_consolidado,fuente,titulo,empresa,keyword,ubicacion,modalidad,url,similitud_tfidf,idioma
1,bumeran::1118112810,bumeran,Analista de compras,BPLAY,Compras / Procurement,"Santa Fe, Santa Fe",Presencial,https://www.bumeran.com.ar/empleos/analista-de-compras-bplay-1118112810.html,0.18290985956975156,es
2,opcionempleo::58809163270760,opcionempleo,Analista de control de gestión (Buenos Aires),ID Logistics,Control de Gestión,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/arbeb708b5ab58c58809163270760bcc90,0.16159666962372335,es
3,opcionempleo::43315,opcionempleo,Jefe De Control De Gestión Y Presupuesto Buenos Aires,Biogénesis Bagó,Control de Gestión,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/ar4daecb756fda6f99d433d2b1a43315e1,0.14879721777047497,es
4,opcionempleo::3485753,opcionempleo,Gerente de operaciones (Rosario),,Gerente de Operaciones,"Rosario, Santa Fe",,https://www.opcionempleo.com.ar/jobad/arfbff59b3485753f7d512ec770af5dea7,0.14830541676612122,es
5,opcionempleo::99320,opcionempleo,Ingeniero de Proyectos (Rosario),Segula Technologies,Ingeniero Industrial,"Rosario, Santa Fe",,https://www.opcionempleo.com.ar/jobad/arbc8c843cd997c1ba99320cc8c6236612,0.146651950746351,es
6,opcionempleo::jobadar1faded9f6dcf930fbf6df1803daeb5f7,opcionempleo,Head de Operaciones/Gerente de Help Desk,Werben HR,Gerente de Operaciones,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/ar1faded9f6dcf930fbf6df1803daeb5f7,0.1447737525319896,es
7,opcionempleo::848989377,opcionempleo,"Head de Operaciones/Gerente de Help Desk Hibrido, CABA ID",Werben HR,Gerente de Operaciones,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/arb459a848989377b91b3ff1f7609c2c87,0.14427059891247934,es
8,opcionempleo::49081961,opcionempleo,Jefe de Compras Capex (Rosario),COFCO International,Compras / Procurement,"Rosario, Santa Fe",,https://www.opcionempleo.com.ar/jobad/ard54b7bbc8cf49081961ab1fa896a1cda,0.14320269331263935,es
9,opcionempleo::350461,opcionempleo,Analista de Control de Gestión de La Planta Procesadora de Aves / Samborombóm Prov. Bs As (Buenos Aires),ADN Recursos Humanos,Control de Gestión,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/araa350461f335f8d119d73afb644f7b1c,0.14123500211338394,es
10,opcionempleo::974629,opcionempleo,Analista De Costos Y Control De Gestión Buenos Aires,,Control de Gestión,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/arcbe87b0edb974629b7938e737ea5ac63,0.13710910341321736,es
11,bumeran::1118193613,bumeran,Gerente de Planeamiento y Control de Gestión,Confidencial,Control de Gestión,"San Isidro, Buenos Aires",Presencial,https://www.bumeran.com.ar/empleos/gerente-de-planeamiento-y-control-de-gestion-1118193613.html,0.13668396370204397,es
12,opcionempleo::449309,opcionempleo,Business Intelligence Analyst (Buenos Aires),Nestlé,BI / Analytics,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/arc049be449309bf719ccd57f9eb6d2082,0.13629339402543802,es
13,opcionempleo::889071,opcionempleo,Jefe/a Dpto Compras Generales (Buenos Aires),ASE Obra Social,Compras / Procurement,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/ar502a191f889071da4c011d87a1f628bb,0.13504555991253728,es
14,opcionempleo::82293,opcionempleo,Analista de Control de Gestión de La Planta Procesadora de Aves (Buenos Aires),ADN Recursos Humanos,Control de Gestión,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/ar2cb17b7a7d82293ff55c7a2dd166c23e,0.13426080039519397,es
15,opcionempleo::580999,opcionempleo,INGENIERO PRODUCCION (Neuquén),YPF,Ingeniero Industrial,Neuquén,,https://www.opcionempleo.com.ar/jobad/ar3dae074f1248e580999e94b9d7469cf2,0.13375597539785442,es
16,opcionempleo::jobadarb6200dfb6e8152c3e5b1b3e18afdb547,opcionempleo,Supply Chain Specialist (Buenos Aires),Expertise Consultores,Supply Chain,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/arb6200dfb6e8152c3e5b1b3e18afdb547,0.13313715977452473,es
17,opcionempleo::13947,opcionempleo,Responsable De Administración Y Finanzas,Manpowergroup Argentina,Finanzas / CAPEX,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/arce11c5fe998acba31a23e71f4ef13947,0.13233867988541914,es
18,bumeran::1118185223,bumeran,"ANALISTA DE CONTROL DE GESTION, con desarrollo en Costos",E + S Consultores,Control de Gestión,Apto discapacidad,Presencial,https://www.bumeran.com.ar/empleos/analista-de-control-de-gestion-con-desarrollo-en-costos-e-s-consultores-1118185223.html,0.12843829049834407,es
19,opcionempleo::jobadar3ac77afc3a25dcc37cdcfe2dce26b54d,opcionempleo,Analista Senior de Control de Gestión & Data Analytics (Vicente López),Delenio,Control de Gestión,"Vicente López, Provincia de Buenos Aires",,https://www.opcionempleo.com.ar/jobad/ar3ac77afc3a25dcc37cdcfe2dce26b54d,0.12777631758472716,es
20,opcionempleo::70344484068,opcionempleo,Sr Business Development Analyst (Buenos Aires),Despegar,BI / Analytics,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/ar6b70344484068f3c272a5d912d175312,0.12724191769941856,es
