job_id,titulo,empresa,ubicacion,descripcion,fecha_pub,url,keyword,fuente,fecha_scrap,nivel,tipo_empleo,modalidad,salario
data-scientist-senior-aws-sagemaker-python-coyanservices-remote,Data Scientist Senior – AWS / Sagemaker / Python,N/A,Remoto,"Ingeniería de datos: Pipelines en S3, Glue, Lambda, Athena. Feature engineering, validación y monitoreo de calidad. Modelado estadístico y ML: Regresión, clasificación, series de tiempo, NLP. Evaluación rigurosa y documentación técnica. Deployment y MLOps: Productización en SageMaker/Lambda. CI/CD, versionamiento y monitoreo de modelos. Análisis y comunicación: Dashboards, storytelling y soporte a decisiones estratégicas. Gobierno y ética de datos: Mejores prácticas, documentación, reproducibilidad y cumplimiento normativo. ss- Diseñar y ejecutar análisis exploratorios de datos para identificar patrones y calidad de información. - Construir y optimizar procesos de feature engineering para preparar datasets de entrenamiento. - Desarrollar y entrenar modelos de machine learning utilizando AWS, principalmente SageMaker. - Desarrollar y entrenar modelos de analítica avanzada utilizando AWS, principalmente SageMaker. - Evaluar el desempeño de modelos mediante métricas y técnicas de validación adecuadas. - Implementar pipelines de machine learning reproducibles para entrenamiento y despliegue. - Desplegar modelos en producción mediante endpoints de inferencia en tiempo real o batch. - Monitorear el desempeño de los modelos en producción y gestionar reentrenamientos. - Traducir insights técnicos en productos de analítica avanzada para la toma de decisiones. - Colaborar con equipos técnicos y de negocio para definir soluciones analíticas escalables.",2026-03-28,https://www.getonbrd.com/jobs/data-scientist-senior-aws-sagemaker-python-coyanservices-remote,Data Scientist,getonboard,2026-03-30T23:56:38.472943,Senior,Full-Time,Remoto (local),USD 2500 - 3200
data-ai-pipeline-engineer-tritone-analytics-inc-remote,Data Pipeline Engineer,N/A,Remoto,"Core Requirements (Must Have) : Strong Python for data processing and scripting with real datasets; strong SQL skills (joins, aggregations, validation queries, debugging data issues); proven experience working with messy or inconsistent data; understanding of ETL pipelines and data transformation workflows; ability to debug data issues and explain root causes. We value curiosity, collaboration, and a bias toward shipping reliable data products. Candidates who enjoy digging into messy datasets, communicating data issues clearly, and partnering with data scientists and engineers to operationalize AI workflows will excel. Prior experience in music rights or financial data domains is a plus. Build and maintain pipelines that transform messy CSVs, metadata exports, and contracts into structured datasets. Design and enforce canonical schemas across inconsistent data sources to enable reliable analytics. Write SQL to validate outputs, reconcile datasets, and support financial analysis. Debug and improve data quality across ingestion and transformation stages. Support document ingestion workflows (chunking, preprocessing, metadata tagging). Help prepare structured inputs for LLM-based workflows (RAG, extraction, classification). Improve reliability of pipelines (error handling, logging, testing).",2026-03-20,https://www.getonbrd.com/jobs/data-ai-pipeline-engineer-tritone-analytics-inc-remote,Data Scientist,getonboard,2026-03-30T23:56:38.484945,Semi-Senior,,Remoto (local),USD 400 - 600
ingeniero-de-datos-devaid-remote-41ba,Ingeniero de Datos,N/A,Remoto,"Los requisitos para un buen desempeño de las funciones son: 1 año de experiencia como Data Engineer. Programación en lenguaje Python, NodeJS o Java (al menos uno de los 3). Conocimiento de soluciones de Data Warehouse y ETL. Conocimiento de plataformas de procesamiento de datos como Apache Spark, Dataflow o similares. Haber trabajado previamente con alguna nube pública (AWS, Azure o GCP). Si no cumples alguno de estos puntos no te desanimes, queremos conocerte igualmente. El trabajo es 100% remoto, pero es necesario que tengas RUT y/o papeles al día en Chile. Esperamos que puedas desempeñarte en las siguientes actividades: Creación de pipelines de carga y transformación de datos. Modelamiento de datos y creación de Data Warehouse y Data Lakes. Integración de sistemas. Creación de modelos de machine learning con herramientas low code autoML. Vas a participar como ingeniero de datos en equipos de consultores que prestan servicios a empresas importantes en Chile. En estos equipos participan distintos perfiles, tales como desarrolladores de software, arquitectos de datos y data scientists. Los servicios se prestan de forma remota y son prestados por proyecto (no es outsourcing de recursos), por lo que puedes trabajar desde tu casa sin problemas. Diariamente vas a tener reuniones con tu equipo para coordinar actividades y resolver temas complejos que vayan surgiendo.",2026-03-25,https://www.getonbrd.com/jobs/ingeniero-de-datos-devaid-remote-41ba,Data Scientist,getonboard,2026-03-30T23:56:38.490051,Semi-Senior,Full-Time,Remoto (local),
arquitecto-de-datos-sr-data-ai-grupo-mariposa-remote,Arquitecto de Datos Sr. (Data & AI),N/A,Remoto,"Buscamos un Arquitecto de Datos Senior con visión estratégica para liderar el diseño de nuestra plataforma de Datos. Tu misión será construir cimientos que permitan no solo el análisis de datos a escala, sino también la operacionalización eficiente de modelos de Datos, Machine Learning y soluciones de IA. Debes dominar Databricks y demostrar experiencia llevando modelos a producción, gestionando arquitecturas que soporten analítica avanzada, Se valorará capacidad para definir estrategias de gobierno de datos, MLOps y colaboración transversal entre equipos. Requerimientos: Más de 5 años de experiencia en Ingeniería de Datos, Arquitectura de Datos o ML Engineering. Dominio experto de Databricks (Unity Catalog, Delta Lake, MLflow). Programación avanzada en PySpark y Python para ingeniería de datos. Experiencia sólida en o integraciones con bases de datos (diseño de esquemas, optimización de queries y escalabilidad). Conocimientos en entornos Cloud (Azure, AWS o GCP). Deseables: Experiencia con Feature Stores. Conocimiento de herramientas de orquestación (Airflow, Prefect, etc.). Experiencia en architecturas de IA y ML, con prácticas de MLOps (entrenamiento, versionado, despliegue y monitoreo). Familiaridad con despliegue de LLMs o IA Generativa. Certificaciones en Databricks (Data Engineer o ML Practitioner). Diseñar e implementar arquitecturas de Datos e IA híbridas y escalables (Lakehouse) para soportar ingestión masiva y cargas de trabajo de ML/IA. Definir y estandarizar flujos de trabajo para Data Science, asegurando un ciclo de vida de modelos (MLOps) ágil y robusto. Actuar como referente técnico en Databricks (Unity Catalog, Delta Lake, MLflow), garantizando buenas prácticas de código y rendimiento. Modelar y optimizar esquemas NoSQL para aplicaciones de alto rendimiento y baja latencia. Establecer políticas de gobierno de datos que cubran datasets tradicionales, feature stores y registros de modelos. Colaborar estrechamente con Data Engineers y Data Scientists para cerrar la brecha entre prototipado y despliegue en producción. Liderar iniciativas de arquitectura orientadas a IA, incluyendo patrones de inferencia batch vs. real-time y escalabilidad de modelos.",2026-03-23,https://www.getonbrd.com/jobs/arquitecto-de-datos-sr-data-ai-grupo-mariposa-remote,Data Scientist,getonboard,2026-03-30T23:56:38.495221,Senior,Full-Time,Remoto (local),
senior-software-engineer-unholster-santiago-d463,Semi Senior Software Engineer,N/A,Chile,"Al menos 3 años de experiencia profesional desarrollando sistemas en producción. Capacidad demostrada para diseñar y mantener software complejo. Conocimiento generales sólidos de ingeniería de software y facilidad comunicando/explicando. Experiencia en ambientes cloud (ideal AWS y/o Azure). Esperamos que nuestr@s Software Engineers sean, fundamentalmente versátiles, aunque naturalmente cada uno gravite hacia alguna combinación de los siguientes arquetipos: Architect, Engineering Manager, Mentor, Lead Developer y Individual Contributor. Según las fortalezas e intereses de cada individuo, tratamos de orientar su carrera en la dirección más afín. El día a día típico de un Semi-senior SWE consiste en: Entender rápidamente los objetivos y desafíos de tu proyecto (a veces más de uno) y diseñar un plan de trabajo propio con fechas de entrega esperadas. Desarrollar de forma altamente productiva, señalando tempranamente riesgos de bloqueo, coordinando apoyos desde otros compañeros y/o equipos, y gestionando agentes AI (usamos principalmente Claude Code y Cursor, sin topes de consumo. La propuesta de herramientas y técnicas nuevas es muy bienvenida). Dar visibilidad y comunicarte activamente con tu equipo (típicamente, un grupo pequeño de personas entre ingenieros de software, data scientists y jefes de proyecto), Participar del proceso de diseño y planificación estratégica de los proyectos en que estarás involucrado, así como de iniciativas transversales de la empresa.",2026-03-30,https://www.getonbrd.com/jobs/senior-software-engineer-unholster-santiago-d463,Data Scientist,getonboard,2026-03-30T23:56:38.500179,Semi-Senior,Full-Time,Híbrido,USD 2500 - 4000
data-scientist-machine-learning-engineer-cyd-tecnologia-santiago,Data Scientist / Machine Learning Engineer,N/A,Chile,"Buscamos un perfil con solides técnicas en ciencia de datos e ingeniería de ML, capaz de traducir datos en decisiones estratégicas para ventas y abastecimiento. Debes trabajar de forma autónoma, comunicar claramente resultados y colaborar en un entorno ágil. Se valorará experiencia en S&OP, análisis de cadenas de suministro y stack de Google Cloud Platform. Competencias técnicas: Python (pandas, NumPy, scikit-learn, statsmodels) y SQL avanzado. Experiencia con BigQuery y el ecosistema GCP (BigQuery ML, Dataflow/Beam, Cloud Storage). Conocimiento en técnicas de ML para series temporales, forecasting, regresión y clasificación. Habilidad para explicar resultados complejos a públicos no técnicos y generar recomendaciones accionables. Experiencia con herramientas de visualización y storytelling de datos. Metodologías ágiles y capacidad de trabajar en equipo multifuncional. Competencias académicas: Ingeniero Civil Informático, Industrial o Afín. Procesar y transformar grandes volúmenes de datos en BigQuery para soportar modelos predictivos y dashboards operativos. Desarrollar, evaluar y mantener modelos multivariables (regresión, clasificación, series temporales) en Python, con énfasis en S&OP y optimización de inventarios. Realizar análisis de drivers de negocio y extracción de insights accionables para mejorar ventas y planificación de la cadena de suministro. Colaborar con equipos de producto, ventas y logística para convertir resultados en recomendaciones concretas y acciones operativas. Documentar modelos, parámetros, supuestos y resultados; generar reportes y presentaciones para stakeholders. Implementar prácticas de ML Ops, monitoreo de modelos y actualización continua en Google Cloud Platform.",2026-03-12,https://www.getonbrd.com/jobs/data-scientist-machine-learning-engineer-cyd-tecnologia-santiago,Data Scientist,getonboard,2026-03-30T23:56:38.505158,Semi-Senior,Full-Time,Híbrido,
applied-scientist-neuralworks-santiago-69d5,Applied Scientist,N/A,Chile,"Estudios de Ingeniería Civil Industrial, Economía o similar. Experiencia desarrollando estudios de evaluación de impacto utilizando técnicas experimentales y observacionales, tales como RCT (Randomized Control Trials), Técnicas econométricas como Diferencia en Diferencias, controles sintéticos, variables instrumentales, y Propensity Score Matching, entre otros. Dominio intermedio de algún lenguaje de scripting orientado a análisis de datos (R y/o Python), teniendo como base manejo de flujos, condiciones, funciones; así como comodidad utilizando el principal stack de librerías como tidyverse para R, pandas y statsmodels para Python. Experiencia utilizando algún lenguaje declarativo de consultas a base de datos (SQL) para preparar conjuntos de datos para análisis, así como para caracterizar su comportamiento. Habilidad para trabajar en equipo, levantar requerimientos y conseguir resultados. Buen manejo comunicacional y skills de colaboración. Buen manejo de inglés, sobre todo en lectura donde debes ser capaz de leer un paper, artículos o documentación de forma constante. ¡En NeuralWorks nos importa la diversidad! Creemos firmemente en la creación de un ambiente laboral inclusivo, diverso y equitativo. Reconocemos y celebramos la diversidad en todas sus formas y estamos comprometidos a ofrecer igualdad de oportunidades para todos los candidatos. “Los hombres postulan a un cargo cuando cumplen el 60% de las calificaciones, pero las mujeres sólo si cumplen el 100%.” D. Gaucher , J. Friesen and A. C. Kay, Journal of Personality and Social Psychology, 2011. Te invitamos a postular aunque no cumplas con todos los requisitos. Como Applied Scientist, te sumaras a un equipo ya constituido de Analítica Avanzada, trabajando en conjunto con otras disciplinas tales como Data Scientist, Machine Learning Engineers, DevOps, equipos de producto y gestión. El equipo de Analytics trabaja en diferentes proyectos que combinan volúmenes de datos enormes e IA, como detectar y predecir fallas antes que ocurran, optimizar pricing, personalizar la experiencia del cliente, optimizar uso de combustible, detectar caras y objetos usando visión por computador. Tu trabajo como Applied Scientist será promover y realizar experimentos para orientar los esfuerzos e incrementos de los equipos. Estos desarrollos formarán parte de la transformación data-driven de la empresa con el propósito de fortalecer y eficientar la toma de decisiones basadas en análisis técnicos rigurosos de datos. Como Applied Scientist tu trabajo consistirá en: Ser el principal gestor de la medición de impacto de los productos, estimando y relacionando el efecto de las acciones en los principales indicadores de la compañía (Ingreso, Costo, Experiencia de Cliente, Puntualidad, entre otros), utilizando técnicas experimentales y observacionales. Habilitar la experimentación en distintos equipos, identificando los métodos estadísticos adecuados para medir el impacto en cada dominio. Participar de la creación de una plataforma de experimentación. Es un trabajo muy dinámico, donde aprenderás de diferentes proyectos, colaborando con múltiples disciplinas de negocio, datos e IA, trabajando en un ambiente donde la curiosidad, colaboración y empatía son esenciales. Esperamos ver desplegadas tus ganas de aprender y enseñar. En cualquier proyecto que trabajes, esperamos que tengas un gran espíritu de colaboración, una pasión por la innovación y el código y una mentalidad de automatización antes que procesos manuales.",2026-03-10,https://www.getonbrd.com/jobs/applied-scientist-neuralworks-santiago-69d5,Data Scientist,getonboard,2026-03-30T23:56:38.509657,Semi-Senior,Full-Time,Híbrido,
machine-learning-engineer-neuralworks-santiago-451d,Machine Learning Engineer,N/A,Chile,"Estudios de Ingeniería Civil en Computación o similar. Experiencia práctica de al menos 3 años en entornos de trabajo como Software Engineer, ML Engineer, entre otros. Experiencia con Python. Entendimiento de estructuras de datos con habilidades analíticas relacionadas con el trabajo con conjuntos de datos no estructurados, conocimiento avanzado de SQL, incluida optimización de consultas. Experiencia usando pipelines de CI/CD y Docker. Pasión en problemáticas de procesamiento de datos. Experiencia con servidores cloud (GCP, AWS o Azure, de preferencia GCP), especialmente el conjunto de servicios de procesamiento de datos. Buen manejo de inglés, sobre todo en lectura donde debes ser capaz de leer un paper, artículos o documentación de forma constante. Habilidades de comunicación y trabajo colaborativo. ¡En NeuralWorks nos importa la diversidad! Creemos firmemente en la creación de un ambiente laboral inclusivo, diverso y equitativo. Reconocemos y celebramos la diversidad en todas sus formas y estamos comprometidos a ofrecer igualdad de oportunidades para todos los candidatos. “Los hombres postulan a un cargo cuando cumplen el 60% de las calificaciones, pero las mujeres sólo si cumplen el 100%.” Gaucher, D., Friesen, J., & Kay, A. C. (2011). Te invitamos a postular aunque no cumplas con todos los requisitos. El equipo de Data y Analytics trabaja en diferentes proyectos que combinan volúmenes de datos enormes e IA, como detectar y predecir fallas antes que ocurran, optimizar pricing, personalizar la experiencia del cliente, optimizar uso de combustible, detectar caras y objetos usando visión por computador. Trabajarás transformando los procesos a MLOps y creando productos de datos a la medida basados en modelos analíticos, en su gran mayoría de Machine Learning, pero pudiendo usar un espectro de técnicas más amplio. Dentro del equipo multidisciplinario con Data Scientist, Translators, DevOps, Data Architect, tu rol será extremadamente importante y clave para el desarrollo y ejecución de los productos, pues eres quien conecta la habilitación y operación de los ambientes con el mundo real. Te encargarás de aumentar la velocidad de entrega, mejorar la calidad y la seguridad del código, entender la estructura de los datos y optimizar los procesos para el equipo de desarrollo. En cualquier proyecto que trabajes, esperamos que tengas un gran espíritu de colaboración, pasión por la innovación y el código y una mentalidad de automatización antes que procesos manuales. Como MLE, tu trabajo consistirá en: Trabajar directamente con el equipo de Data Scientists para poner en producción modelos de Machine Learning utilizando y creando pipelines de ML. Recolección de grandes volúmenes y variados conjuntos de datos. Recolección de interacción con la realidad para su posterior reentrenamiento. Construir las piezas necesarias para servir nuestros modelos y ponerlos a interactuar con el resto de la compañía en un entorno real y altamente escalable. Trabajar muy cerca de los Data Scientists buscando maneras eficientes de monitorear, operar y darle explicabilidad a los modelos. Promover una cultura técnica impulsando los productos de datos con las prácticas DevSecOps, SRE y MLOps.",2026-03-06,https://www.getonbrd.com/jobs/machine-learning-engineer-neuralworks-santiago-451d,Data Scientist,getonboard,2026-03-30T23:56:38.514586,Semi-Senior,Full-Time,Híbrido,
data-engineer-neuralworks-santiago-6cf6,Data Engineer,N/A,Chile,"Estudios de Ingeniería Civil en Computación o similar. Experiencia práctica de al menos 3 años en entornos de trabajo como Data Engineer, Software Engineer entre otros. Experiencia con Python. Entendimiento de estructuras de datos con habilidades analíticas relacionadas con el trabajo con conjuntos de datos no estructurados, conocimiento avanzado de SQL, incluida optimización de consultas. Pasión en problemáticas de procesamiento de datos. Experiencia con servidores cloud (GCP, AWS o Azure), especialmente el conjunto de servicios de procesamiento de datos. Buen manejo de inglés, sobre todo en lectura donde debes ser capaz de leer un paper, artículos o documentación de forma constante. Habilidades de comunicación y trabajo colaborativo. ¡En NeuralWorks nos importa la diversidad! Creemos firmemente en la creación de un ambiente laboral inclusivo, diverso y equitativo. Reconocemos y celebramos la diversidad en todas sus formas y estamos comprometidos a ofrecer igualdad de oportunidades para todos los candidatos. “Los hombres postulan a un cargo cuando cumplen el 60% de las calificaciones, pero las mujeres sólo si cumplen el 100%.” D. Gaucher , J. Friesen and A. C. Kay, Journal of Personality and Social Psychology, 2011. Te invitamos a postular aunque no cumplas con todos los requisitos. El equipo de Data y Analytics trabaja en diferentes proyectos que combinan volúmenes de datos enormes e IA, como detectar y predecir fallas antes que ocurran, optimizar pricing, personalizar la experiencia del cliente, optimizar uso de combustible, detectar caras y objetos usando visión por computador. Dentro del equipo multidisciplinario con Data Scientist, Translators, DevOps, Data Architect, tu rol será clave en construir y proveer los sistemas e infraestructura que permiten el desarrollo de estos servicios, formando los cimientos sobre los cuales se construyen los modelos que permiten generar impacto, con servicios que deben escalar, con altísima disponibilidad y tolerantes a fallas, en otras palabras, que funcionen. Además, mantendrás tu mirada en los indicadores de capacidad y performance de los sistemas. En cualquier proyecto que trabajes, esperamos que tengas un gran espíritu de colaboración, pasión por la innovación y el código y una mentalidad de automatización antes que procesos manuales. Como Data Engineer, tu trabajo consistirá en: Participar activamente durante el ciclo de vida del software, desde inception, diseño, deploy, operación y mejora. Apoyar a los equipos de desarrollo en actividades de diseño y consultoría, desarrollando software, frameworks y capacity planning. Desarrollar y mantener arquitecturas de datos, pipelines, templates y estándares. Conectarse a través de API a otros sistemas (Python) Manejar y monitorear el desempeño de infraestructura y aplicaciones. Asegurar la escalabilidad y resiliencia.",2026-03-06,https://www.getonbrd.com/jobs/data-engineer-neuralworks-santiago-6cf6,Data Scientist,getonboard,2026-03-30T23:56:38.519280,Semi-Senior,Full-Time,Híbrido,
data-engineer-decision-point-latam-ciudad-de-mexico-santiago-db38,Data Engineer,N/A,"Chile, Mexico","Bachelor’s degree in computer science, Engineering, Statistics, Mathematics, or related field. Master's degree preferred. Advanced English is mandatory 1+ years of experience as Data Engineer Cloud data storage is mandatory Strong understanding of data modeling, ETL processes, and data warehousing concepts Experience in SQL language, relational data modelling and sound knowledge of Database administration is mandatory Proficiency in Python related to Data Engineering for developing data pipelines, ETL (Extract, Transform, Load) processes, and automation scripts. Proficiency in Microsoft Excel Experience within integrating data management into business and data analytics is mandatory Experience working with cloud platform for deploying and managing scalable data infrastructure Experience working with technologies such as DBT, airflow, snowflake, Databricks among others is a plus Excellent Stakeholder Communication Familiarity with working with numerous large data sets Comfort in a fast-paced environment Strong analytical skills with the ability to collect, organize, analyses, and disseminate significant amounts of information with attention to detail and accuracy Excellent problem-solving skills Strong interpersonal and communication skills for cross-functional teams Proactive approach to continuous learning and skill development Experience in leading or collaborating with a team of data scientists and engineers in developing and delivering machine learning models that work in a production setting.. Data Infrastructure Development: Design, build, and maintain scalable data infrastructure on Cloud Platforms for data processing to support various data initiatives and analytics needs within the organization Data Pipeline Implementation: Design, develop and maintain scalable data pipelines to ingest, transform, and load data from various sources into cloud-based storage and analytics platforms using Python, and SQL Collaboration and Support: Collaborate with cross-functional teams to understand data requirements and provide technical support for data-related initiatives and projects. Helping translating business realities into data bases solution. Performance Optimization: Optimize data processing workflows and cloud resources for efficiency and cost-effectiveness. Implement data quality checks and monitoring to ensure the reliability and integrity of data pipelines. Build and optimize data warehouse solutions for efficient storage and retrieval of large volumes of structured and unstructured data. Data Governance and Security: Implement data governance policies and security controls to ensure compliance and protect sensitive information across cloud platforms environment.",2026-02-20,https://www.getonbrd.com/jobs/data-engineer-decision-point-latam-ciudad-de-mexico-santiago-db38,Data Scientist,getonboard,2026-03-30T23:56:38.524234,Semi-Senior,Full-Time,Híbrido,USD 1100 - 1700
data-scientist-decision-point-latam-ciudad-de-mexico-santiago,Data Scientist,N/A,"Chile, Mexico","▪ Bachelor's degree in Computer Science, Engineering, Statistics, Mathematics, or related field. Master's degree preferred ▪ Minimum of 1+years of experience in a data science domain or related role. ▪ Proficiency in Python for data manipulation, analysis, and model development. ▪ Data Science libraries (such as NumPy, Pandas, Scikit-Learn, TensorFlow, or PyTorch) ▪ Advanced SQL skills for data extraction, transformation, and analysis. ▪ Strong experience in Lifecycle of a Data Science Modelling project ▪ Strong knowledge and practical experience in Machine Learning techniques and frameworks such as such as regression, classification, clustering, and deep learning. ▪ Strong knowledge in Statistics, ML and LLM/Gen AI ▪ Proven track record of successfully managing client relationships and delivering value-added solutions ▪ Experience in building Reporting Dashboards in any of the BI Tools is good to have: Power BI, Tableau, Looker ▪ Familiarity with any could platform such as Azure, AWS, GPC ▪ Expert in Analytics solutions such as Marketing, Predictive Order, Segmentation, Promotion, Hyper-personalization, forecasting, Pricing Analytics development is a plus ▪ Experience in leading or collaborating with a team of data scientists and engineers in developing and delivering machine learning models that work in a production setting.. ▪ Excellent Stakeholder communication and proactive problem-solving ▪ Utilize advanced Python programming skills to design, develop, and deploy machine learning models and algorithms for various business use cases. ▪ Develop Machine Learning techniques such as regression, classification, clustering, and deep learning ▪ Ensure the availability, quality, and security of data used for analysis and modeling ▪ Investigate and interpret data to identify actionable insights and opportunities for improvement ▪ Work with cross-functional teams to implement data-driven solutions and drive business growth ▪ Manage client relationships effectively, including conducting meetings, understanding client requirements, and delivering solutions that meet or exceed expectations. ▪ Lead efforts to expand business opportunities by identifying new avenues for data-driven insights and solutions. ▪ Research and devise innovative statistical models for data analysis ▪ Take responsibility for technical skill-building within the organization (training, process definition, research of new tools and techniques etc.) ▪ Take part in organizational development activities to take our organzation to the next level",2026-02-20,https://www.getonbrd.com/jobs/data-scientist-decision-point-latam-ciudad-de-mexico-santiago,Data Scientist,getonboard,2026-03-30T23:56:38.529146,Semi-Senior,Full-Time,Híbrido,USD 1200 - 1900
data-scientist-risk-amp-data-analytics-cordada-santiago,Data Scientist,N/A,Chile,"El área de Risk and Data Analytics (RDA) es responsable de desarrollar procesos para crear productos de datos para todas las áreas de Cordada, con énfasis en la gestión y evaluación de riesgos de crédito. Es fundamental para nosotros usar los datos en la toma de decisiones y respaldar nuestras metas. Buscamos un Data Scientist capaz de transformar datos en información de valor, trabajando en proyectos de diseño, construcción y gestión de modelos de machine learning para riesgos y analítica de negocio. Requisitos técnicos incluyen dominio intermedio/avanzado de Python y librerías de data science, SQL y herramientas de control de versiones. Se valora experiencia con stack GCP. Se espera pensamiento analítico, capacidad de comunicar resultados complejos de forma simple, independencia y trabajo en equipo multidisciplinario. Se prioriza rigor, precisión y atención al detalle, así como la habilidad para investigar problemas y entender mecanismos subyacentes que expliquen el comportamiento de los datos. Gestionar modelos de machine learning existentes (reentrenamientos y mejoras) e implementar nuevos modelos. Realizar análisis exploratorios profundos para obtener insights en nuestras fuentes de datos (enfocado en negocio, análisis riguroso y trazable). Colaborar con áreas de negocio, tecnología y producto para capturar requerimientos y priorizar iniciativas. Proponer y desarrollar mejoras internas que optimicen el trabajo en Risk & Data Analytics, asegurando claridad, trazabilidad y calidad de código.",2026-02-17,https://www.getonbrd.com/jobs/data-scientist-risk-amp-data-analytics-cordada-santiago,Data Scientist,getonboard,2026-03-30T23:56:38.534202,Semi-Senior,Full-Time,Híbrido,USD 2000 - 3000
