job_id,titulo,empresa,ubicacion,descripcion,fecha_pub,url,keyword,fecha_scrap,nivel,tipo_empleo,modalidad
4457958654,SR Data Scientist,Aper,Buenos Aires y alrededores,"Aper es una plataforma de ecommerce para los bancos del futuro. Nos asociamos con los bancos para crear marketplace más ágiles, justos y flexibles que logren una mayor fidelización de sus clientes. Nuestra visión es acompañar a los bancos en su transformación hacia centros de servicios y productos, impulsando la expansión más allá del ámbito financiero. Hoy Aper cuenta con presencia en países como Argentina, Chile, Colombia y Costa Rica, y apuntamos a seguir creciendo en la región. Buscamos Data Scientist con experiencia en el desarrollo y puesta en producción de modelos de Machine Learning, capaz de generar impacto medible sobre los KPIs del negocio. La posición combina el desarrollo de soluciones predictivas y de IA aplicada con el ownership de la capa de métricas que sostiene la toma de decisiones de la compañía. Para tener éxito en el rol: ● Modelos de Machine Learning en producción, monitoreados y con impacto medible sobre KPIs de negocio. ● Definiciones de métricas consistentes en toda la compañía, gobernadas y con evolución controlada. ● Una capa semántica confiable no solo para consumo humano, sino también para consumo por agentes de IA. Responsabilidades principales Diseñar, entrenar y desplegar modelos de Machine Learning para resolver problemas de negocio en e-commerce, gestionando su ciclo de vida completo (monitoreo, reentrenamiento, mejora continua). Construir soluciones basadas en LLMs y sistemas agénticos para automatizar procesos analíticos y habilitar analítica self-service. Diseñar y ejecutar experimentos (A/B testing, análisis causal) para validar el impacto real de los modelos. Definir y gobernar los KPIs del negocio, manteniendo una capa semántica de datos confiable tanto para personas como para agentes de IA. Convertir requerimientos ad-hoc en dashboards y métricas reutilizables que traduzcan datos complejos en decisiones. Ser referente de datos para Producto, Comercial y Operaciones, traduciendo preguntas de negocio en soluciones analíticas. Requisitos: ● 3+ años en roles de Data Science o Analytics Engineering, idealmente en entornos tecnológicos o de e-commerce. ● Experiencia con modelo de Machine Learning llevado a producción y sostenido en el tiempo: operado, monitoreado y ajustado ante degradación. ● Experiencia siendo owner sobre KPIs de negocio y sobre las definiciones que los sustentan. ● Conocimientos avanzados de SQL y Python, con experiencia en librerías de Machine Learning (scikit-learn, TensorFlow, PyTorch o equivalentes). ● Sólida base en estadística aplicada, diseño experimental e inferencia causal. ● Criterio para distinguir cuándo un problema se resuelve con un modelo clásico, con un LLM o con lógica determinística, y capacidad de fundamentar esa decisión ante negocio. Deseable ● Experiencia hands-on con capa semántica o capa de métricas. ● Experiencia construyendo aplicaciones con LLMs: prompting estructurado, RAG, function calling / tool use y diseño de evaluaciones Modalidad hibrida de trabajo: 2 veces por semana oficina. Oficinas en Núñez. Show more Show less",2026-08-26,https://www.linkedin.com/jobs/view/4457958654,Data Scientist,2026-08-30T23:03:42.480323,Algo de responsabilidad,Jornada completa,
4450840542,Senior Data Scientist,SecurityScorecard,Buenos Aires y alrededores,"About SecurityScorecard: SecurityScorecard is the global leader in cybersecurity ratings, with over 12 million companies continuously rated, operating in 64 countries. Founded in 2013 by security and risk experts Dr. Alex Yampolskiy and Sam Kassoumeh and funded by world-class investors, SecurityScorecard’s patented rating technology is used by over 25,000 organizations for self-monitoring, third-party risk management, board reporting, and cyber insurance underwriting; making all organizations more resilient by allowing them to easily find and fix cybersecurity risks across their digital footprint. Headquartered in New York City, our culture has been recognized by Inc Magazine as a ""Best Workplace,” by Crain’s NY as a ""Best Places to Work in NYC,"" and as one of the 10 hottest SaaS startups in New York for two years in a row. Most recently, SecurityScorecard was named to Fast Company’s annual list of the World’s Most Innovative Companies for 2023 and to the Achievers 50 Most Engaged Workplaces in 2023 award recognizing “forward-thinking employers for their unwavering commitment to employee engagement.” SecurityScorecard is proud to be funded by world-class investors including Silver Lake Waterman, Moody’s, Sequoia Capital, GV and Riverwood Capital. About the Role: We are looking for a talented and driven Senior Data Scientist to join our growing Data Science team. As a Senior Data Scientist, you will play a crucial role in developing and implementing advanced analytical models that drive insights and enhance our cybersecurity ratings platform. You will work on challenging problems, collaborate with cross-functional teams, and contribute directly to the success of our products. Responsibilities: Build, evaluate, and deploy machine learning models for risk scoring, threat intelligence, and vendor risk assessment. Perform exploratory data analysis and identify patterns, trends, and anomalies in large and complex datasets. Evaluate and validate models, ensuring their accuracy, robustness, and scalability. Collaborate with product managers and engineers to define data science requirements and integrate models into production systems. Contribute to code reviews, design discussions, and data science best practices. Stay current on new research and technologies to ensure we leverage state-of-the-art methods. Communicate findings and recommendations effectively to both technical and non-technical audiences. Required Qualifications: Advanced degree in a quantitative field (e.g., Computer Science, Statistics, Mathematics) or equivalent professional experience applying data science to complex problems. 5+ years of experience applying data science and machine learning to real-world challenges. Proficient in Python and ML/data science frameworks (e.g., scikit-learn, XGBoost, MLFlow, PyTorch). Experience working with cloud-based data pipelines (AWS, GCP, or similar). Solid understanding of ML algorithms, evaluation metrics, and model deployment. Effective communicator and team player with a passion for solving hard problems. Prior exposure to cybersecurity, threat intelligence, or risk scoring a significant plus. Prior exposure and interest in LLMs is a plus. Working knowledge of Scala is a plus. Benefits: Specific to each country, we offer a competitive salary, stock options, Health benefits, and unlimited PTO, parental leave, tuition reimbursements, and much more! The estimated total compensation range for this position is $80,000 USD - $100,000 USD (base plus bonus). Actual compensation for the position is based on a variety of factors, including, but not limited to affordability, skills, qualifications and experience, and may vary from the range. In addition to base salary, employees may also be eligible for annual performance-based incentive compensation awards and equity, among other company benefits. SecurityScorecard is committed to Equal Employment Opportunity and embraces diversity. We believe that our team is strengthened through hiring and retaining employees with diverse backgrounds, skill sets, ideas, and perspectives. We make hiring decisions based on merit and do not discriminate based on race, color, religion, national origin, sex or gender (including pregnancy) gender identity or expression (including transgender status), sexual orientation, age, marital, veteran, disability status or any other protected category in accordance with applicable law. We also consider qualified applicants regardless of criminal histories, in accordance with applicable law. We are committed to providing reasonable accommodations for qualified individuals with disabilities in our job application procedures. If you need assistance or accommodation due to a disability, please contact talentacquisitionoperations@securityscorecard.io. Any information you submit to SecurityScorecard as part of your application will be processed in accordance with the Company’s privacy policy and applicable law. SecurityScorecard does not accept unsolicited resumes from employment agencies. Please note that we do not provide immigration sponsorship for this position. Show more Show less",2026-08-13,https://www.linkedin.com/jobs/view/4450840542,Data Scientist,2026-08-30T23:03:42.480466,Intermedio,Jornada completa,
4454656179,Senior Data Scientist,Kake,"Provincia de Buenos Aires, Argentina","About the Role We’re looking for a Senior Product Data Scientist with strong technical expertise and a true ownership mindset. This person will go beyond assigned tasks, proactively identifying opportunities for improvement and driving impact across the product. You’ll work closely with Product Managers and cross-functional teams (design, engineering, marketing, research) to translate data into actionable insights that shape product direction. The team operates around Latin America's time zone , so you’ll need at least 6 hours of overlap with GMT-7. What You’ll Do Partner with Product Managers and cross-functional stakeholders to inform product strategy with data-driven insights. Design and run experiments (A/B testing, experimentation frameworks) to measure impact and guide decision-making. Translate data into clear, actionable product recommendations. Develop metrics, dashboards, and reports to monitor product health and growth. Contribute to building scalable data infrastructure and experimentation workflows. What We’re Looking For Strong foundation in Data Science with hands-on experience in experimentation, research, and product improvements . Expertise in statistics, experiment design, and A/B testing , with a track record of delivering actionable insights. Product-focused data science background — comfortable collaborating with PMs and communicating with both technical and non-technical stakeholders. Proficiency in Python and SQL for data analysis, modeling, and reporting. Excellent communication skills, with the ability to distill complex data into clear recommendations. Proactive, ownership-driven mindset and willingness to go beyond assigned tasks. Nice to Have Experience with Snowflake, Superset, Eppo, or Airflow . Background in SEO, acquisition, conversion optimization, or growth analytics . Experience in consumer tech or high-growth product environments . Previous remote work experience. Why Join Kake? Kake is a remote-first company with a global community — fully believing that it’s not where your table is, but what you bring to the table that matters. We provide top-tier engineering teams to support some of the world’s most innovative companies, and we’ve built a culture where great people stay, grow, and thrive. We’re proud to be more than just a stop along the way in your career — we’re the destination. The icing on the Kake: 💵 Competitive Pay in USD – Work globally, get paid globally. 🏡 Fully Remote – Simply put, we trust you. 🌱 Better Me Fund – We invest in your personal growth and passions. ❤️ Compassion is Badass – Join a community that invests in social good. Show more Show less",2026-08-21,https://www.linkedin.com/jobs/view/4454656179,Data Scientist,2026-08-30T23:03:42.480593,Intermedio,Jornada completa,
4441080871,Científico de Datos,ThinkBig HR - Recruiting experto,"Buenos Aires, Provincia de Buenos Aires, Argentina","Diseñar, desarrollar y desplegar modelos de inteligencia artificial y machine learning (generativa y no generativa) que permitan transformar datos en soluciones innovadoras, apoyando la estrategia de adopción transversal de IA en la organización y generando valor para el negocio a través de predicciones, automatizaciones e insights avanzados. Explorar y preparar datos estructurados y no estructurados. Desarrollar, entrenar y evaluar modelos de IA/ML. Implementar pipelines de ML en entornos productivos. Colaborar con equipos de datos y áreas de negocio para traducir necesidades estratégicas en soluciones. Asegurar gobernanza, privacidad y seguridad de datos. Generar insights y predicciones que impulsen decisiones clave. 📍 Lunes a Viernes de 9.00 a 18.00 hs, CABA. Formato Híbrido 4x1! Requisitos Sera necesario que conozcas sobre Experiencia comprobable en proyectos de IA generativa y no generativa. Manejo avanzado de Python y librerías de ML/IA (scikit-learn, TensorFlow, PyTorch, HuggingFace, etc.). Experiencia sólida en SQL y bases no relacionales. Conocimiento de soluciones de Big Data (Spark, Hadoop, Databricks, etc.) Beneficios 🤝 Gran oportunidad de desarrollo. 👨‍⚕️ Prepaga para vos y tu grupo familiar 🏖️ Días adicionales de vacaciones. 👨🏽‍💻 Beneficio de pago de Conectividad 🙌 Horario flexible y esquema híbrido de trabajo. 📚 Licencias Udemy para que puedas capacitarte en lo que quieras. 💌Acceso preferencial en la contratación de productos y/o servicios de SMG como seguros de caución, hogar, automotor, retiro, vida y ahorro. SMG Cells 💉Campaña de vacunación gratuita 🏋️‍♀️🏋️‍♂️ Cobertura en Gimnasios a través de la red Wellhub 📌Descuentos corporativos en cines, teatros, viajes, restaurantes, spas y otros rubros. 🚀 Sumate a una compañía que trabaja todos los días para que millones de personas vivan más y mejor. Importante empresa del rubro salud, líder en la industria, busca sumar a su equipo de Tecnología un Científico de Datos. Show more Show less",2026-07-22,https://www.linkedin.com/jobs/view/4441080871,Data Scientist,2026-08-30T23:03:42.480713,Intermedio,Jornada completa,
4448049439,Data Scientist,Nosis,"Buenos Aires, Provincia de Buenos Aires, Argentina","Nosis Laboratorio de Investigación y Desarrollo S.A., empresa líder en Informes Comerciales Online, seleccionará un Data Scientist , que tenga ganas de sumarse al proceso de transformación digital que estamos atravesando, poniendo en práctica el uso de buenas prácticas. Su misión será interpretar las necesidades del negocio y desarrollar soluciones funcionales mediante proyectos de consultoría y/o analytics para ayudar al cliente en el cumplimiento de sus objetivos estratégicos. Serán sus desafíos Desarrollar las propuestas de soluciones de analytics y consultoria. Participar en los requerimientos y definiciones propias de personalización de las soluciones de Nosis, con foco en atender los objetivos del negocio del cliente. Participar en el desarrollo de productos. Desarrollar productos de modelos predictivos. Requisitos Nos encontramos en la búsqueda de profesionales proactivos, flexibles, y resolutivos, con buena capacidad de gestión y análisis, que tengan ganas de sumarse a una compañía líder en su rubro. Estudiante o graduado de carerras como Lic. en Estadística, Economía, Administración, Ingeniería, Actuario, o carrera afin. Experiencia mínima de 2 años en posiciones similares. Conocimientos avanzados en Excel. Conocimientos en SQL. Experiencia con R o Python (Nivel intermedio) Conocimientos en Modelos Predictivos, Machine Learning o Scoring (Deseable) Conocimiento/experiencia en riesgo crediticio (Deseable) Conocimiento/experiencia trabajando con datos de bureaus y/o Experiencia docente de algún tipo, es un PLUS!! Inglés Intermedio. Beneficios Día libre de cumpleaños. 3 días libres al año. Plan de Capacitación Reintegro por conectividad. Regalo por Nacimiento ¡¡Sumate al Equipo de Nosis!! Nosis Laboratorio de Investigación y Desarrollo S.A. fue fundada en 1988 con el objetivo de ofrecer servicios de información financiera para individuos y empresas, teniendo en cuenta las necesidades de nuestros clientes y esforzándonos día a día para el crecimiento y desarrollo de sus negocios. Gracias a la continua innovación informática y a la constante incorporación de nuevas técnicas analíticas, Nosis se posiciona hoy como una de las empresas líderes en información de antecedentes comerciales, de comercio internacional y de servicios de marketing que facilitan la toma de decisiones. La transparencia, la responsabilidad y la vocación de servicio son los valores que nos guían para cumplir con las necesidades de cada uno de nuestros clientes. Show more Show less",2026-08-05,https://www.linkedin.com/jobs/view/4448049439,Data Scientist,2026-08-30T23:03:42.480881,Intermedio,Jornada completa,
4408950453,Data Scientist (SR) – Python / ML / GCP (Híbrido) · Inglés avanzado requerido,Talent Connect,Buenos Aires y alrededores,"Data Scientist (SR) – Python / ML / GCP (Híbrido) Inglés avanzado requerido 📍 Argentina | Híbrido 🕘 Full-time 🎯 Sobre el rol Buscamos un/a Data Scientist Senior para liderar el diseño, desarrollo y despliegue de modelos analíticos, predictivos y prescriptivos con impacto real en el negocio del cliente: rendimiento de cultivos, predicción de precios de commodities, optimización logística, gestión de riesgo agroclimático y eficiencia industrial. El rol es referente técnico dentro del equipo de Data & AI de un cliente en Estados Unidos, con capacidad para traducir necesidades de negocio en soluciones de machine learning end-to-end, trabajando con áreas de negocio, ingeniería de datos y MLOps en un entorno 100% en inglés. ✅ Qué vas a hacer Diseñar, entrenar, validar y poner en producción modelos de ML y estadística avanzada (forecasting de rendimientos, predicción de precios, segmentación, optimización de rutas, scoring crediticio agropecuario, entre otros) Trabajar con datos heterogéneos y de gran volumen: satelitales/geoespaciales (NDVI, EVI, Sentinel/Landsat), meteorológicos, IoT, ERP y datos de mercado Liderar proyectos analíticos end-to-end: definición del problema, exploración, feature engineering, modelado, evaluación, despliegue y monitoreo Colaborar con Data Engineering en pipelines robustos y escalables, y con MLOps en versionado, CI/CD y monitoreo de modelos Comunicar insights accionables a stakeholders técnicos y no técnicos (Originación, Trading, Operaciones, Comercial, Dirección) Participar en la definición de la roadmap analítica, identificando oportunidades de IA por impacto y factibilidad Mantenerse actualizado/a en IA aplicada al agro y proponer pruebas de concepto 🔍 Qué buscamos Formación en Ciencias de Datos, Estadística, Matemática, Ingeniería, Economía, Agronomía cuantitativa o afines Mínimo 5 años en roles de Data Science, con al menos 2 liderando proyectos analíticos end-to-end Dominio sólido de Python: pandas, NumPy, scikit-learn, statsmodels, matplotlib/seaborn Experiencia con frameworks de ML/DL: XGBoost, LightGBM, PyTorch o TensorFlow SQL avanzado y trabajo con bases de datos relacionales y de gran volumen Experiencia desplegando modelos en producción en entornos cloud (preferentemente GCP) Sólidos fundamentos estadísticos: inferencia, regresión, series de tiempo, validación cruzada, A/B testing Inglés avanzado (C1 o equivalente), oral y escrito — interacción diaria con el cliente en EE.UU. ⭐ Valoramos especialmente Experiencia en agroindustria, agtech, alimentos, commodities o sectores relacionados Datos geoespaciales: GeoPandas, Rasterio, QGIS, Google Earth Engine, NDVI/EVI, imágenes satelitales Forecasting de series de tiempo: Prophet, ARIMA, state-space, Transformers temporales Plataformas de datos modernas: Databricks, Snowflake, BigQuery, dbt, Airflow MLOps: MLflow, model registry, monitoreo de drift, CI/CD para modelos IA generativa y LLMs aplicados a negocio: RAG, agentes, automatización Visualización: Power BI, Tableau, Qlik o Looker Posgrado, maestría o doctorado en disciplinas cuantitativas 🏢 Modalidad de trabajo Esquema híbrido Interacción diaria con equipo y stakeholders en Estados Unidos (inglés) 🎁 Beneficios Prepaga de primer nivel Beneficio por conectividad Capacitación y certificaciones a cargo de la empresa Plan de carrera personalizado y capacitación constante Día de cumpleaños libre Kit de bienvenida Descuentos en formación (Siglo 21 y Coderhouse) Convenios con Unilever, Tienda Molinos y otras empresas 📩 Postulación Si es para ti, ¡aplicá aquí mismo! Si no es para ti, ¡compartila con tus colegas! Show more Show less",2026-05-05,https://www.linkedin.com/jobs/view/4408950453,Data Scientist,2026-08-30T23:03:42.481004,No corresponde,Jornada completa,
4444463689,Senior Data Scientist,"Solvd, Inc.",Argentina,"Solvd Inc. is a rapidly growing AI-native consulting and technology services firm delivering enterprise transformation across cloud, data, software engineering, and artificial intelligence . We work with industry-leading organizations to design, build, and operationalize technology solutions that drive measurable business outcomes. Following the acquisition of Tooploox , a premier AI and product development company, Solvd now offers true end-to-end delivery —from strategic advisory and solution design to custom AI development and enterprise-scale implementation. Our capability centers combine deep technical expertise, proven delivery methodologies, and sector-specific knowledge to address complex business challenges quickly and effectively. What You Will Do Deliver end-to-end data science projects using classical machine learning (e.g., regression, classification, time series forecasting) and deep learning approaches — from data exploration and modeling to deployment and performance tracking. Collaborate closely with business stakeholders to identify opportunities and translate them into measurable data-driven solutions. Present complex analytical findings in a clear, actionable way to both technical and non-technical audiences. Contribute to analytical planning and ensure alignment with overall business objectives. Support presales activities by preparing data/ML solution concepts, participating in client meetings, and estimating project scope and potential value. Help shape the Data Science practice by contributing to its strategic development and supporting recruitment initiatives. What You Bring Proven experience as a Data Scientist delivering end-to-end projects — from exploratory data analysis to model deployment, performance evaluation, and experimentation (e.g., A/B testing). Strong expertise in working with tabular and time-series data, including EDA, feature engineering, predictive modeling, and model evaluation. Proficiency in Python and common data-science libraries (e.g., pandas, scikit-learn, TensorFlow/PyTorch). Experience leading or mentoring analytics teams and coordinating with business stakeholders. Excellent communication skills, able to translate between technical and business perspectives effectively. Solid understanding of business processes and data structures. Confidence in client-facing settings: gathering requirements, shaping analytical roadmaps, and delivering measurable business value. Fluency in English for meetings with international clients. Nice to have Hands-on experience with deep learning, computer vision, or generative AI projects. Familiarity with cloud platforms (AWS, GCP, or Azure) and MLOps tools. Experience with data visualization or BI tools for communicating insights. When you join Solvd, you'll… Shape real-world AI-driven projects across key industries, working with clients from startup innovation to enterprise transformation. Be part of a global team with equal opportunities for collaboration across continents and cultures. Thrive in an inclusive environment that prioritizes continuous learning, innovation, and ethical AI standards. Ready to make an impact? If you're excited to build things that matter, champion responsible AI, and grow with some of the industry’s sharpest minds. Apply today and let’s innovate together. Solvd is an equal opportunity employer. Show more Show less",2026-07-23,https://www.linkedin.com/jobs/view/4444463689,Data Scientist,2026-08-30T23:03:42.481121,No corresponde,Jornada completa,
4448037636,Data Scientist,Sophilabs,"Departamento Uruguay, Provincia de Entre Ríos, Argentina","A Typical Day A Data Scientist at Sophilabs delves into intricate data to unlock insights, trends, and predictive patterns. Utilizing their expertise with Microsoft SQL Server, they analyze vast amounts of data to influence decision-making and propel the business forward. Responsibilities Design and implement statistical or machine learning solutions tailored to business needs. Utilize Microsoft SQL Server for efficient and effective data analysis. Collaborate with organizational stakeholders to identify opportunities for leveraging company data to drive business solutions. Mine and analyze data from company databases to optimize and improve product development, marketing techniques, and business strategies. Coordinate with different functional teams to implement models and monitor outcomes. Develop processes and tools to monitor and analyze model performance and data accuracy. Pursue continuous learning about the latest industry trends, tools, and techniques in data science. Engage in project conceptualizations and provide data-driven recommendations. To explore more about this opportunity and discover other exciting roles, simply type 'Sophilabs Careers' in your favorite search engine. Dive into a world of possibilities with us! Qualifications At least 3 years of relevant Data Science experience. Proficiency with Microsoft SQL Server A robust analytical mindset with a knack for dissecting complex data structures. Demonstrates thoroughness, a passion for problem-solving, and a commitment to excellence. Preferred Qualifications Familiarity with data visualization tools such as Power BI, Tableau, or similar. A foundation in algorithms, statistics, and machine learning. Proven ability to drive business results with data-based insights. Strong interpersonal and communication skills, with the ability to articulate complex data findings in a clear and concise manner. Full-time and Remote availability. Proficiency in English (C1 or +). We Offer 🚀 An opportunity to sculpt your career path with premium training, English assistance and courses, investment days, literature, conference support, coaching, and all-encompassing feedback. 🌱 Achieve a harmonious work-life balance with our adaptable remote working policy and an array of wellness benefits. Show more Show less",2026-08-05,https://www.linkedin.com/jobs/view/4448037636,Data Scientist,2026-08-30T23:03:42.481233,No corresponde,Jornada completa,
4450844357,Senior Data Scientist,SecurityScorecard,"Córdoba y alrededores, Argentina","About SecurityScorecard: SecurityScorecard is the global leader in cybersecurity ratings, with over 12 million companies continuously rated, operating in 64 countries. Founded in 2013 by security and risk experts Dr. Alex Yampolskiy and Sam Kassoumeh and funded by world-class investors, SecurityScorecard’s patented rating technology is used by over 25,000 organizations for self-monitoring, third-party risk management, board reporting, and cyber insurance underwriting; making all organizations more resilient by allowing them to easily find and fix cybersecurity risks across their digital footprint. Headquartered in New York City, our culture has been recognized by Inc Magazine as a ""Best Workplace,” by Crain’s NY as a ""Best Places to Work in NYC,"" and as one of the 10 hottest SaaS startups in New York for two years in a row. Most recently, SecurityScorecard was named to Fast Company’s annual list of the World’s Most Innovative Companies for 2023 and to the Achievers 50 Most Engaged Workplaces in 2023 award recognizing “forward-thinking employers for their unwavering commitment to employee engagement.” SecurityScorecard is proud to be funded by world-class investors including Silver Lake Waterman, Moody’s, Sequoia Capital, GV and Riverwood Capital. About the Role: We are looking for a talented and driven Senior Data Scientist to join our growing Data Science team. As a Senior Data Scientist, you will play a crucial role in developing and implementing advanced analytical models that drive insights and enhance our cybersecurity ratings platform. You will work on challenging problems, collaborate with cross-functional teams, and contribute directly to the success of our products. Responsibilities: Build, evaluate, and deploy machine learning models for risk scoring, threat intelligence, and vendor risk assessment. Perform exploratory data analysis and identify patterns, trends, and anomalies in large and complex datasets. Evaluate and validate models, ensuring their accuracy, robustness, and scalability. Collaborate with product managers and engineers to define data science requirements and integrate models into production systems. Contribute to code reviews, design discussions, and data science best practices. Stay current on new research and technologies to ensure we leverage state-of-the-art methods. Communicate findings and recommendations effectively to both technical and non-technical audiences. Required Qualifications: Advanced degree in a quantitative field (e.g., Computer Science, Statistics, Mathematics) or equivalent professional experience applying data science to complex problems. 5+ years of experience applying data science and machine learning to real-world challenges. Proficient in Python and ML/data science frameworks (e.g., scikit-learn, XGBoost, MLFlow, PyTorch). Experience working with cloud-based data pipelines (AWS, GCP, or similar). Solid understanding of ML algorithms, evaluation metrics, and model deployment. Effective communicator and team player with a passion for solving hard problems. Prior exposure to cybersecurity, threat intelligence, or risk scoring a significant plus. Prior exposure and interest in LLMs is a plus. Working knowledge of Scala is a plus. Benefits: Specific to each country, we offer a competitive salary, stock options, Health benefits, and unlimited PTO, parental leave, tuition reimbursements, and much more! The estimated total compensation range for this position is $80,000 USD - $100,000 USD (base plus bonus). Actual compensation for the position is based on a variety of factors, including, but not limited to affordability, skills, qualifications and experience, and may vary from the range. In addition to base salary, employees may also be eligible for annual performance-based incentive compensation awards and equity, among other company benefits. SecurityScorecard is committed to Equal Employment Opportunity and embraces diversity. We believe that our team is strengthened through hiring and retaining employees with diverse backgrounds, skill sets, ideas, and perspectives. We make hiring decisions based on merit and do not discriminate based on race, color, religion, national origin, sex or gender (including pregnancy) gender identity or expression (including transgender status), sexual orientation, age, marital, veteran, disability status or any other protected category in accordance with applicable law. We also consider qualified applicants regardless of criminal histories, in accordance with applicable law. We are committed to providing reasonable accommodations for qualified individuals with disabilities in our job application procedures. If you need assistance or accommodation due to a disability, please contact talentacquisitionoperations@securityscorecard.io. Any information you submit to SecurityScorecard as part of your application will be processed in accordance with the Company’s privacy policy and applicable law. SecurityScorecard does not accept unsolicited resumes from employment agencies. Please note that we do not provide immigration sponsorship for this position. Show more Show less",2026-08-13,https://www.linkedin.com/jobs/view/4450844357,Data Scientist,2026-08-30T23:03:42.481342,Intermedio,Jornada completa,
4418418179,Data Scientist,IV.AI,Argentina,"IV.AI is looking for a Data Scientist to join and help work on machine learning problems (in the field of natural language processing) for large enterprise clients and to improve the suite of products that we offer. The ideal candidate should be helpful, responsive, dependable, and comfortable working remotely within a small team with tight deadlines. We value people who thrive working collaboratively in a distributed team and who are enthusiastic about the potential of machine learning. Your primary responsibility is to deliver quality production-ready code, data and insights. Execute on defined tasks and contribute to solving problems with defined solutions. Salary range: USD$20,000 to $36,000 (USD) annual based on experience Timezone: PST Employment Type: Full Time Employee Must-Haves 2+ years writing queries in SQL or running models in Python/Jupyter 2+ years experience with statistical analysis Write and speak clearly, communicate empathetically High standard of excellence for your work Attention to detail: spotting typos in text and errors in data Bonus Points Data visualization beyond pies and bars (e.g. box and whiskers, histograms, violin plots) Github: pull, push, merge, PR, cherry-picking, issue tracking Regular Expressions PostgreSQL 12+ An example where we can see your writing style (in English), ideally data-related Responsibilities Primarily focus on improving your craft as a Data Scientist Build SQL queries to calculate specific metrics Prototype data pipelines on Jupyter Write clear and concise reports for client deliverables, and documentation for internal tools Analyze and present datasets or results with simple methods Understand the reasoning behind the team's design decisions to verify and debug implementations of the designs Qualifications Great people come from diverse backgrounds and we are a team that embodies this. We’re not necessarily looking for a Computer Science Masters or PhD. We are looking for someone who cares about articulating high quality data observations and can work diligently, while tackling problems systematically. Who are we? IV.AI is the world's smartest AI platform with a focus on enterprise. We have grown fast but aim to retain the scrappy nature that enabled us to build big ML models that outperform the industry standards. There are a lot of companies right now that talk about the potential impact of AI while we hustle hard and have actually proven the benefits repeatedly. See validation on the homepage or via case studies and press. We are… Helpful We’re trying to help everyone become better informed by using machine learning - whether it's a model that makes sense of noisy social media data, a voice-powered interface, or a conversational interface, we want to help others make more informed decisions by using AI. Inclusive Our inclusive culture values people regardless of their background, education, or upbringing. In order to train machines to act appropriately, we need to be representative of the entire population. AI is only as good as the teams working on it and the training it receives. Hardworking You should expect hard challenges working with our tier 1 client list. In just 3 years we have built a scalable platform with 1000s of AI solutions for Fortune 500 companies including Sony, Netflix, Time Warner, Fox, Capital One, Estée Lauder, to name a few. Professional Being professional and respectful of our clients is of the utmost importance. We work with blue-chip clients and we sometimes work with very sensitive data. Collaborative Our employees are constantly problem-solving and assessing their own output to maximize delivery. It's important that our team is always looking for the best way of addressing problems so we can manage customer expectations. Smart We never try to write more code than is necessary for a task. We modularize and systemize everything. Concurrency is important to us and simple solutions always win. We work together to determine best practices/processes and to stick to them. We believe that no challenge is too hard. Evolving We’re still young. Expect that you'll be part of a core team, able to have a say in the future of the company. Also expect that the senior team has no problem being challenged: they love to listen. Who you should be... You should love to build things and be excited about AI. You should be smart and always willing to learn. You'll be able to accept your own limitations and be honest that nobody knows everything, anybody is able to ask for support. You will always be looking for solutions that can speed up workflows. Efficiency is at the top of your mind. You like doing things the ""right"" way, but are pragmatic when you have a deadline. Show more Show less",2026-05-22,https://www.linkedin.com/jobs/view/4418418179,Data Scientist,2026-08-30T23:03:42.481450,No corresponde,Jornada completa,
