job_id,titulo,empresa,ubicacion,descripcion,fecha_pub,url,keyword,fuente,fecha_scrap,nivel,tipo_empleo,modalidad,salario
jobadar37a7ead608a9138cc89a97f2073c0bc3,Data Scientist Aws - Sr,Coderio,Buenos Aires,"Data Scientist AWS - SR Sobre Coderio Coderio diseña y entrega soluciones digitales escalables para empresas globales. Con una base técnica sólida y una mentalidad orientada al producto, nuestros equipos lideran proyectos de software complejos desde la arquitectura hasta la ejecución. Valoramos la autonomía, la comunicación clara y la excelencia técnica. Colaboramos estrechamente con equipos y socios internacionales, construyendo tecnología que genera impacto. Más información: Nos encontramos en la búsqueda de un/a Senior Data Scientist para incorporarse a proyectos de analítica avanzada y desarrollo de soluciones de datos en entornos cloud. Buscamos un perfil con experiencia en Python, AWS y construcción de pipelines de datos, capaz de participar en el diseño, desarrollo e implementación de modelos analíticos y procesos de datos escalables. La persona seleccionada trabajará junto a equipos multidisciplinarios para transformar datos en información accionable, desarrollando soluciones robustas sobre la nube de AWS. Los candidatos deben residir en Argentina, Colombia, Perú o Chile. Responsabilidades Diseñar, desarrollar y mantener pipelines de datos escalables en AWS. Implementar procesos de extracción, transformación y carga (ETL/ELT). Desarrollar soluciones analíticas utilizando Python. Construir, entrenar y desplegar modelos de Machine Learning utilizando Amazon SageMaker. Integrar y automatizar flujos de datos desde diversas fuentes. Garantizar la calidad, disponibilidad y confiabilidad de los datos. Colaborar con equipos de negocio y tecnología para identificar oportunidades basadas en datos. Optimizar procesos y arquitecturas de datos en entornos cloud. Monitorear y mejorar el rendimiento de modelos y pipelines productivos. Participar en la definición de buenas prácticas de Data Science, Data Engineering y MLOps. Requisitos Excluyentes +3 años de experiencia en Data Science, Machine Learning o Data Engineering. Experiencia comprobable en proyectos sobre AWS. Experiencia en desarrollo con Python. Experiencia en Amazon SageMaker para entrenamiento y despliegue de modelos. Experiencia en diseño e implementación de Data Pipelines. Experiencia trabajando con bases de datos SQL y procesamiento de datos. Manejo de procesos ETL/ELT. Conocimiento de control de versiones (Git). Conocimiento sólido de servicios AWS Cloud (S3, Glue, Athena, Lambda, Redshift, EMR, IAM, CloudWatch, Step Functions) Deseables Experiencia desarrollando modelos de Forecasting / Predicción de Series Temporales. Conocimiento de bibliotecas como: (Pandas, NumPym, Scikit-Learn, Statsmodels, Prophet, XGBoost) Conocimientos de MLOps. Experiencia con Docker. Conocimientos de CI/CD. Experiencia en arquitecturas Data Lake y Lakehouse. Soft Skills Pensamiento analítico. Orientación a resultados. Capacidad de resolución de problemas complejos. Autonomía y proactividad. Trabajo en equipo. Comunicación efectiva con áreas técnicas y de negocio. Beneficios 100% remoto Compromiso a largo plazo, con autonomía e impacto Rol estratégico y de alta visibilidad en una cultura de ingeniería moderna Equipo internacional colaborativo y liderazgo técnico sólido Plan de carrera y crecimiento dentro de Coderio ¿Por qué unirte a Coderio? En Coderio valoramos el talento sin importar la ubicación. Somos una empresa remote-first,apasionada por la tecnología, el trabajo colaborativo y la compensación justa. Ofrecemos un entorno inclusivo, desafiante y con oportunidades reales de crecimiento. Si te motiva construir soluciones con impacto, te estamos esperando. Postula ahora. PI****ec7b0a3c- Buscojobs",N/A,https://www.opcionempleo.com.ar/jobad/ar37a7ead608a9138cc89a97f2073c0bc3,Data Scientist,opcionempleo,2026-09-14T17:27:21.479673,,,,
744454,Data Scientist Aws - Sr,Coderio,Buenos Aires,"Data Scientist AWS - SRSobre CoderioCoderio diseña y entrega soluciones digitales escalables para empresas globales. Con una base técnica sólida y una mentalidad orientada al producto, nuestros equipos lideran proyectos de software complejos desde la arquitectura hasta la ejecución. Valoramos la autonomía, la comunicación clara y la excelencia técnica. Colaboramos estrechamente con equipos y socios internacionales, construyendo tecnología que genera impacto. Más información: Nos encontramos en la búsqueda de un/a Senior Data Scientist para incorporarse a proyectos de analítica avanzada y desarrollo de soluciones de datos en entornos cloud. Buscamos un perfil con experiencia en Python, AWS y construcción de pipelines de datos, capaz de participar en el diseño, desarrollo e implementación de modelos analíticos y procesos de datos escalables.La persona seleccionada trabajará junto a equipos multidisciplinarios para transformar datos en información accionable, desarrollando soluciones robustas sobre la nube de AWS.Los candidatos deben residir en Argentina, Colombia, Perú o Chile. ResponsabilidadesDiseñar, desarrollar y mantener pipelines de datos escalables en AWS.Implementar procesos de extracción, transformación y carga (ETL/ELT). Desarrollar soluciones analíticas utilizando Python.Construir, entrenar y desplegar modelos de Machine Learning utilizando Amazon SageMaker.Integrar y automatizar flujos de datos desde diversas fuentes.Garantizar la calidad, disponibilidad y confiabilidad de los datos.Colaborar con equipos de negocio y tecnología para identificar oportunidades basadas en datos.Optimizar procesos y arquitecturas de datos en entornos cloud.Monitorear y mejorar el rendimiento de modelos y pipelines productivos.Participar en la definición de buenas prácticas de Data Science, Data Engineering y MLOps. Requisitos Excluyentes+3 años de experiencia en Data Science, Machine Learning o Data Engineering.Experiencia comprobable en proyectos sobre AWS.Experiencia en desarrollo con Python.Experiencia en Amazon SageMaker para entrenamiento y despliegue de modelos.Experiencia en diseño e implementación de Data Pipelines.Experiencia trabajando con bases de datos SQL y procesamiento de datos.Manejo de procesos ETL/ELT.Conocimiento de control de versiones (Git). Conocimiento sólido de servicios AWS Cloud (S3, Glue, Athena, Lambda, Redshift, EMR, IAM, CloudWatch, Step Functions)DeseablesExperiencia desarrollando modelos de Forecasting / Predicción de Series Temporales.Conocimiento de bibliotecas como: (Pandas, NumPym, Scikit-Learn, Statsmodels, Prophet, XGBoost)Conocimientos de MLOps.Experiencia con Docker.Conocimientos de CI/CD.Experiencia en arquitecturas Data Lake y Lakehouse.Soft SkillsPensamiento analítico.Orientación a resultados.Capacidad de resolución de problemas complejos.Autonomía y proactividad.Trabajo en equipo.Comunicación efectiva con áreas técnicas y de negocio.Beneficios100% remotoCompromiso a largo plazo, con autonomía e impactoRol estratégico y de alta visibilidad en una cultura de ingeniería modernaEquipo internacional colaborativo y liderazgo técnico sólidoPlan de carrera y crecimiento dentro de Coderio ¿Por qué unirte a Coderio? En Coderio valoramos el talento sin importar la ubicación. Somos una empresa remote-first,apasionada por la tecnología, el trabajo colaborativo y la compensación justa. Ofrecemos un entorno inclusivo, desafiante y con oportunidades reales de crecimiento. Si te motiva construir soluciones con impacto, te estamos esperando. Postula ahora.PI****ec7b0a3c- Buscojobs",N/A,https://www.opcionempleo.com.ar/jobad/ara8cf6abaf744454e1447e5d6900c29a7,Data Scientist,opcionempleo,2026-09-14T17:27:21.480050,,,,
96007,Data Scientist (Buenos Aires),FYG | For Your Growth,Buenos Aires,"¿Te gustaría trabajar en desafíos donde los datos y la Inteligencia Artificial se convierten en soluciones concretas con impacto real en el negocio? En FYG | For Your Growth acompañamos la búsqueda de un/a Data Scientist para sumarse a un relevante grupo financiero y participar en el diseño y evolución de soluciones de Machine Learning, Analítica Avanzada e Inteligencia Artificial Generativa. Buscamos un perfil con sólida base técnica, curiosidad y mirada analítica, que disfrute explorar nuevas tecnologías y transformar grandes volúmenes de información en modelos y soluciones escalables que acompañen la toma de decisiones. ¿Cuál será tu desafío? Serás parte del equipo responsable de diseñar, desarrollar y validar soluciones de Data Science e Inteligencia Artificial, trabajando tanto sobre modelos tradicionales de Machine Learning como sobre nuevas capacidades de IA Generativa, arquitecturas RAG y AI Agents. Tendrás un rol activo en todo el ciclo de vida de las soluciones: desde la exploración de datos y experimentación hasta su validación, productivización y monitoreo, trabajando de manera transversal con Ingeniería de Datos, DataOps/MLOps y diferentes áreas del negocio. Principales desafíos - Diseñar, desarrollar y desplegar soluciones de Inteligencia Artificial Generativa, incluyendo arquitecturas RAG (Retrieval-Augmented Generation) y sistemas basados en AI Agents. - Desarrollar modelos de Machine Learning y Analítica Avanzada, incluyendo clasificación, regresión, clustering y series de tiempo. - Evaluar y optimizar Modelos Fundacionales y LLMs, aplicando técnicas de prompt engineering y fine-tuning de acuerdo con cada caso de uso. - Analizar información proveniente de diferentes fuentes y preparar datasets complejos, tanto estructurados como no estructurados. - Diseñar experimentos, validar hipótesis y evaluar el desempeño de modelos utilizando métricas tradicionales y específicas para soluciones basadas en LLMs. - Trabajar junto a Ingeniería de Datos y DataOps/MLOps para productivizar, escalar y monitorear las soluciones desarrolladas. - Interpretar métricas y resultados técnicos, transformándolos en insights claros y accionables para el negocio. - Documentar metodologías, modelos, flujos de orquestación, supuestos y resultados, garantizando su trazabilidad. - Asegurar el cumplimiento de estándares internos vinculados a privacidad de datos, seguridad de la información y gobierno de modelos. ¿Qué buscamos? - +3 años de experiencia en posiciones de Data Science, Machine Learning o Analítica Avanzada. - Experiencia reciente y comprobable desarrollando proyectos de Inteligencia Artificial Generativa. - Experiencia en construcción de arquitecturas/pipelines RAG y desarrollo de AI Agents. - Dominio avanzado de Python y SQL. - Sólidos conocimientos de estadística, modelado predictivo y Machine Learning. - Experiencia con herramientas y frameworks como Scikit-learn, XGBoost, TensorFlow y/o PyTorch. - Conocimientos sobre el ciclo de vida de modelos y prácticas de MLOps / LLMOps, desde la experimentación hasta el despliegue y monitoreo en producción. - Capacidad para trabajar transversalmente con perfiles técnicos y áreas de negocio, traduciendo problemáticas en soluciones basadas en datos. - Formación en Ciencia de Datos, Estadística, Matemática, Ingeniería, Sistemas, Informática o carreras afines. Será especialmente valorado - Experiencia práctica trabajando con LLMs como OpenAI, Anthropic, Llama u otros modelos fundacionales. - Conocimiento de frameworks de orquestación como LangChain, LlamaIndex o similares. - Experiencia con bases de datos vectoriales como Pinecone, ChromaDB, Qdrant o equivalentes. - Conocimientos de evaluación de soluciones GenAI, incluyendo calidad de respuesta, coherencia y mitigación de alucinaciones. - Experiencia llevando modelos y soluciones de IA a entornos productivos y de alta escala. ¿Qué perfil buscamos? Una persona con pensamiento analítico, profundidad técnica y orientación al negocio, que disfrute experimentar, desafiar enfoques y mantenerse cerca de la evolución constante del ecosistema de Inteligencia Artificial. Si te entusiasma construir soluciones donde Data Science, Machine Learning e IA Generativa se traduzcan en impacto concreto para el negocio, queremos conocerte. Kit Empleo",N/A,https://www.opcionempleo.com.ar/jobad/ard24eab96007c9d6f0e5240357b249d65,Data Scientist,opcionempleo,2026-09-14T17:27:21.480389,,,,
jobadarbb5fadaba486d27d32c1a91fe99caa18,Data Scientist Aws - Sr (Buenos Aires),Coderio,Buenos Aires,"Data Scientist AWS - SRSobre CoderioCoderio diseña y entrega soluciones digitales escalables para empresas globales. Con una base técnica sólida y una mentalidad orientada al producto, nuestros equipos lideran proyectos de software complejos desde la arquitectura hasta la ejecución. Valoramos la autonomía, la comunicación clara y la excelencia técnica. Colaboramos estrechamente con equipos y socios internacionales, construyendo tecnología que genera impacto. Más información: Nos encontramos en la búsqueda de un/a Senior Data Scientist para incorporarse a proyectos de analítica avanzada y desarrollo de soluciones de datos en entornos cloud. Buscamos un perfil con experiencia en Python, AWS y construcción de pipelines de datos, capaz de participar en el diseño, desarrollo e implementación de modelos analíticos y procesos de datos escalables.La persona seleccionada trabajará junto a equipos multidisciplinarios para transformar datos en información accionable, desarrollando soluciones robustas sobre la nube de AWS.Los candidatos deben residir en Argentina, Colombia, Perú o Chile. ResponsabilidadesDiseñar, desarrollar y mantener pipelines de datos escalables en AWS.Implementar procesos de extracción, transformación y carga (ETL/ELT). Desarrollar soluciones analíticas utilizando Python.Construir, entrenar y desplegar modelos de Machine Learning utilizando Amazon SageMaker.Integrar y automatizar flujos de datos desde diversas fuentes.Garantizar la calidad, disponibilidad y confiabilidad de los datos.Colaborar con equipos de negocio y tecnología para identificar oportunidades basadas en datos.Optimizar procesos y arquitecturas de datos en entornos cloud.Monitorear y mejorar el rendimiento de modelos y pipelines productivos.Participar en la definición de buenas prácticas de Data Science, Data Engineering y MLOps. Requisitos Excluyentes+3 años de experiencia en Data Science, Machine Learning o Data Engineering.Experiencia comprobable en proyectos sobre AWS.Experiencia en desarrollo con Python.Experiencia en Amazon SageMaker para entrenamiento y despliegue de modelos.Experiencia en diseño e implementación de Data Pipelines.Experiencia trabajando con bases de datos SQL y procesamiento de datos.Manejo de procesos ETL/ELT.Conocimiento de control de versiones (Git). Conocimiento sólido de servicios AWS Cloud (S3, Glue, Athena, Lambda, Redshift, EMR, IAM, CloudWatch, Step Functions)DeseablesExperiencia desarrollando modelos de Forecasting / Predicción de Series Temporales.Conocimiento de bibliotecas como: (Pandas, NumPym, Scikit-Learn, Statsmodels, Prophet, XGBoost)Conocimientos de MLOps.Experiencia con Docker.Conocimientos de CI/CD.Experiencia en arquitecturas Data Lake y Lakehouse.Soft SkillsPensamiento analítico.Orientación a resultados.Capacidad de resolución de problemas complejos.Autonomía y proactividad.Trabajo en equipo.Comunicación efectiva con áreas técnicas y de negocio.Beneficios100% remotoCompromiso a largo plazo, con autonomía e impactoRol estratégico y de alta visibilidad en una cultura de ingeniería modernaEquipo internacional colaborativo y liderazgo técnico sólidoPlan de carrera y crecimiento dentro de Coderio ¿Por qué unirte a Coderio? En Coderio valoramos el talento sin importar la ubicación. Somos una empresa remote-first,apasionada por la tecnología, el trabajo participativo y la compensación justa. Ofrecemos un entorno inclusivo, desafiante y con oportunidades reales de crecimiento. Si te motiva construir soluciones con impacto, te estamos esperando. Postula ahora.PI****ec7b0a3c- Kit Empleo",N/A,https://www.opcionempleo.com.ar/jobad/arbb5fadaba486d27d32c1a91fe99caa18,Data Scientist,opcionempleo,2026-09-14T17:27:21.480738,,,,
35151003,Data Scientist IA Generativa y RAG (Buenos Aires),Grupo Petersen,Buenos Aires,"Grupo Petersen busca Data Scientist para diseñar, desarrollar y validar modelos analíticos e IA Generativa para transformar datos en información de valor y decisiones de negocio. Se requiere mínimo 3 años en Data Science/ML, dominio de Python y SQL, experiencia con LLMs y RAG, y capacidad de comunicar resultados a áreas no técnicas. La posición ofrece condiciones de contratación competitivas, cobertura médica y programas de crecimiento profesional dentro de un grupo financiero de referencia en Kit Empleo",N/A,https://www.opcionempleo.com.ar/jobad/are8ccf0cacecf35151003e05367f6f3c8,Data Scientist,opcionempleo,2026-09-14T17:27:21.481077,,,,
632772,Data Scientist Aws - Sr (Buenos Aires),Coderio,Buenos Aires,"Data Scientist AWS - SR Sobre Coderio Coderio diseña y entrega soluciones digitales escalables para empresas globales. Con una base técnica sólida y una mentalidad orientada al producto, nuestros equipos lideran proyectos de software complejos desde la arquitectura hasta la ejecución. Valoramos la autonomía, la comunicación clara y la excelencia técnica. Colaboramos estrechamente con equipos y socios internacionales, construyendo tecnología que genera impacto. Más información: Nos encontramos en la búsqueda de un/a Senior Data Scientist para incorporarse a proyectos de analítica avanzada y desarrollo de soluciones de datos en entornos cloud. Buscamos un perfil con experiencia en Python, AWS y construcción de pipelines de datos, capaz de participar en el diseño, desarrollo e implementación de modelos analíticos y procesos de datos escalables. La persona seleccionada trabajará junto a equipos multidisciplinarios para transformar datos en información accionable, desarrollando soluciones robustas sobre la nube de AWS. Los candidatos deben residir en Argentina, Colombia, Perú o Chile. Responsabilidades Diseñar, desarrollar y mantener pipelines de datos escalables en AWS. Implementar procesos de extracción, transformación y carga (ETL/ELT). Desarrollar soluciones analíticas utilizando Python. Construir, entrenar y desplegar modelos de Machine Learning utilizando Amazon SageMaker. Integrar y automatizar flujos de datos desde diversas fuentes. Garantizar la calidad, disponibilidad y confiabilidad de los datos. Colaborar con equipos de negocio y tecnología para identificar oportunidades basadas en datos. Optimizar procesos y arquitecturas de datos en entornos cloud. Monitorear y mejorar el rendimiento de modelos y pipelines productivos. Participar en la definición de buenas prácticas de Data Science, Data Engineering y MLOps. Requisitos Excluyentes +3 años de experiencia en Data Science, Machine Learning o Data Engineering. Experiencia comprobable en proyectos sobre AWS. Experiencia en desarrollo con Python. Experiencia en Amazon SageMaker para entrenamiento y despliegue de modelos. Experiencia en diseño e implementación de Data Pipelines. Experiencia trabajando con bases de datos SQL y procesamiento de datos. Manejo de procesos ETL/ELT. Conocimiento de control de versiones (Git). Conocimiento sólido de servicios AWS Cloud (S3, Glue, Athena, Lambda, Redshift, EMR, IAM, CloudWatch, Step Functions) Deseables Experiencia desarrollando modelos de Forecasting / Predicción de Series Temporales. Conocimiento de bibliotecas como: (Pandas, NumPym, Scikit-Learn, Statsmodels, Prophet, XGBoost) Conocimientos de MLOps. Experiencia con Docker. Conocimientos de CI/CD. Experiencia en arquitecturas Data Lake y Lakehouse. Soft Skills Pensamiento analítico. Orientación a resultados. Capacidad de resolución de problemas complejos. Autonomía y proactividad. Trabajo en equipo. Comunicación efectiva con áreas técnicas y de negocio. Beneficios 100% remoto Compromiso a largo plazo, con autonomía e impacto Rol estratégico y de alta visibilidad en una cultura de ingeniería moderna Equipo internacional colaborativo y liderazgo técnico sólido Plan de carrera y crecimiento dentro de Coderio ¿Por qué unirte a Coderio? En Coderio valoramos el talento sin importar la ubicación. Somos una empresa remote-first,apasionada por la tecnología, el trabajo colaborativo y la compensación justa. Ofrecemos un contexto inclusivo, desafiante y con oportunidades reales de crecimiento. Si te motiva construir soluciones con impacto, te estamos esperando. Postula ahora. PI****ec7b0a3c- Kit Empleo",N/A,https://www.opcionempleo.com.ar/jobad/ar9295d92badbcf37f695bde632772a2b4,Data Scientist,opcionempleo,2026-09-14T17:27:21.481414,,,,
32761,Data Scientist AWS - SR (Buenos Aires),Coderio,Buenos Aires,"Data Scientist AWS - SR Sobre Coderio Coderio diseña y entrega soluciones digitales escalables para empresas globales. Con una base técnica sólida y una mentalidad orientada al producto, nuestros equipos lideran proyectos de software complejos desde la arquitectura hasta la ejecución. Valoramos la autonomía, la comunicación clara y la excelencia técnica. Colaboramos estrechamente con equipos y socios internacionales, construyendo tecnología que genera impacto. Más información: Nos encontramos en la búsqueda de un/a Senior Data Scientist para incorporarse a proyectos de analítica avanzada y desarrollo de soluciones de datos en entornos cloud. Buscamos un perfil con experiencia en Python, AWS y construcción de pipelines de datos, capaz de participar en el diseño, desarrollo e implementación de modelos analíticos y procesos de datos escalables. La persona seleccionada trabajará junto a equipos multidisciplinarios para transformar datos en información accionable, desarrollando soluciones robustas sobre la nube de AWS. Los candidatos deben residir en Argentina, Colombia, Perú o Chile. Responsabilidades Diseñar, desarrollar y mantener pipelines de datos escalables en AWS. Implementar procesos de extracción, transformación y carga (ETL/ELT). Desarrollar soluciones analíticas utilizando Python. Construir, entrenar y desplegar modelos de Machine Learning utilizando Amazon SageMaker. Integrar y automatizar flujos de datos desde diversas fuentes. Garantizar la calidad, disponibilidad y confiabilidad de los datos. Colaborar con equipos de negocio y tecnología para identificar oportunidades basadas en datos. Optimizar procesos y arquitecturas de datos en entornos cloud. Monitorear y mejorar el rendimiento de modelos y pipelines productivos. Participar en la definición de buenas prácticas de Data Science, Data Engineering y MLOps. Requisitos Excluyentes +3 años de experiencia en Data Science, Machine Learning o Data Engineering. Experiencia comprobable en proyectos sobre AWS. Experiencia en desarrollo con Python. Experiencia en Amazon SageMaker para entrenamiento y despliegue de modelos. Experiencia en diseño e implementación de Data Pipelines. Experiencia trabajando con bases de datos SQL y procesamiento de datos. Manejo de procesos ETL/ELT. Conocimiento de control de versiones (Git). Conocimiento sólido de servicios AWS Cloud (S3, Glue, Athena, Lambda, Redshift, EMR, IAM, CloudWatch, Step Functions) Deseables Experiencia desarrollando modelos de Forecasting / Predicción de Series Temporales. Conocimiento de bibliotecas como: (Pandas, NumPym, Scikit-Learn, Statsmodels, Prophet, XGBoost) Conocimientos de MLOps. Experiencia con Docker. Conocimientos de CI/CD. Experiencia en arquitecturas Data Lake y Lakehouse. Soft Skills Pensamiento analítico. Orientación a resultados. Capacidad de resolución de problemas complejos. Autonomía y proactividad. Trabajo en equipo. Comunicación efectiva con áreas técnicas y de negocio. Ventajas 100% remoto Compromiso a largo plazo, con autonomía e impacto Rol estratégico y de alta visibilidad en una cultura de ingeniería moderna Equipo internacional colaborativo y liderazgo técnico sólido Plan de carrera y crecimiento dentro de Coderio ¿Por qué unirte a Coderio? En Coderio valoramos el talento sin importar la ubicación. Somos una empresa remote-first,apasionada por la tecnología, el trabajo colaborativo y la compensación justa. Ofrecemos un entorno inclusivo, desafiante y con oportunidades reales de crecimiento. Si te motiva construir soluciones con impacto, te estamos esperando. Postula ahora. PI1509ec7b0a3c- Kit Empleo",N/A,https://www.opcionempleo.com.ar/jobad/ar49ff7acc49eb36e98c32761f7b24db85,Data Scientist,opcionempleo,2026-09-14T17:27:21.481759,,,,
jobadar5c4d4517f726e3a2e7ad5c90d3ebca6b,Data Scientist (Buenos Aires),Equifax,Buenos Aires,"Equifax busca un Data Scientist con experiência, quien va a ser responsable de apoyar en la resolución de requerimientos del equipo de analytics de LATAM. Desarrollará atributos, modelos de aprendizaje supervisado y no supervisado, optimización, automatización e implementación de soluciones analíticas. Trabajará en conjunto con un equipo experto y multidisciplinario de Data Scientists con el objetivo común de investigar y compartir las mejores prácticas y últimas tecnologías del mercado. ¿Qué vas a hacer?: - Trabajar con diferentes unidades de negocio tales como Consultoría, Data, Productos y diferentes clientes internos/externos para el relevamiento, desarrollo y presentación de soluciones analíticas e insights. - Desarrollo de modelos para todo el ciclo de vida del crédito, desde prospección hasta cobranzas. Así como también desarrollo de modelos de marketing, perfilamientos, clones, etc. - Participar en todo el end-to-end de modelos análiticos, desde el levantamiento de datos hasta la implementación. - Analizar y manipular grandes conjuntos de datos estructurados y no estructurados de distintas fuentes. - Investigar técnicas innovadoras de Machine Learning para convertirlas en soluciones y compartir dichos conocimientos con el equipo de trabajo para mantener los desarrollos internos alineados con las últimas tecnologías y mejores prácticas. - Trabajar en conjunto con equipos de tecnología e implementación de modelos para asegurar la calidad de los desarrollos end-to-end y entregables analíticos. ¿Qué experiência necesitas?.: - +2 años más trabajando en un rol de Data Scientist o afín. - Programación intermedia en Python y SQL. - Experiência desarrollando modelos de aprendizaje supervisado y no supervisado (deseable). - Manejo de herramientas Cloud como GCP (deseable). - Estudios en carreras afines a estadística, matemática ó computación. - Inglés básico (deseable) ¿Qué podría diferenciarte?.: - Sobresaliente habilidad de comunicación y experiência haciendo present Kit Empleo",N/A,https://www.opcionempleo.com.ar/jobad/ar5c4d4517f726e3a2e7ad5c90d3ebca6b,Data Scientist,opcionempleo,2026-09-14T17:27:21.482097,,,,
jobadar8ec4bfd9a2cedab581f20a3029b5aecb,Data Scientist (Buenos Aires),Grupo Petersen,Buenos Aires,"Descripción del puesto Si te interesa ser parte de desafíos donde los datos y la IA generan valor real, queremos conocerte Buscamos Data Scientist para diseñar, desarrollar y validar modelos analíticos y soluciones de Inteligencia Artificial que nos permitan transformar grandes volúmenes de datos en información de valor y contribuir a mejores decisiones de negocio. ¿Cuáles serán los desafíos del rol? - Diseñar, desarrollar y desplegar soluciones de Inteligencia Artificial Generativa, incluyendo arquitecturas RAG (Retrieval-Augmented Generation) y sistemas basados en agentes (AI Agents). - Diseñar y desarrollar modelos de Machine Learning clásico y Analítica Avanzada (clasificación, regresión, clustering, series de tiempo). - Evaluar, optimizar y realizar fine-tuning o prompt engineering sobre Modelos Fundacionales (LLMs) para adaptarlos a casos de uso específicos del negocio. - Analizar datos de distintas fuentes y preparar datasets complejos (estructurados y no estructurados, como texto o documentos) para el entrenamiento y validación de modelos. - Validar hipótesis y evaluar el rendimiento de modelos utilizando metodologías tradicionales y nuevas métricas específicas para LLMs (mitigación de alucinaciones, coherencia, etc.). - Trabajar junto a Ingeniería de Datos, DataOps/MLOps y áreas de negocio para productivizar, escalar y monitorear soluciones analíticas e inteligentes. - Interpretar métricas técnicas y traducir los resultados en insights accionables y comprensibles para áreas no técnicas. - Documentar metodologías, flujos de orquestación de IA, supuestos y resultados para asegurar la trazabilidad. - Asegurar el cumplimiento de políticas internas, normativa de privacidad de datos, seguridad de la información (principal al usar APIs externas de IA) y estándares PLAFyT. Requisitos ¿Qué buscamos? - Experiencia sólida: Mínimo de 3 años trabajando en Data Science, Machine Learning o Analítica Avanzada, con experiencia reciente comprobable en proyectos de IA Genera Kit Empleo",N/A,https://www.opcionempleo.com.ar/jobad/ar8ec4bfd9a2cedab581f20a3029b5aecb,Data Scientist,opcionempleo,2026-09-14T17:27:21.482435,,,,
jobadar35e08ca512ed21dee0aefa7a417ff929,Data Scientist SSR/SR - ID #00267 (Buenos Aires),Werben HR,Buenos Aires,"Buenos Aires / Argentina (modalidad flexible – remoto con encuentros puntuales) Full time Área: Data Science LATAM El rol Buscamos un/a Data Scientist Semi Senior / Senior con resistente orientación hands-on para sumarse a un equipo regional de Data Science. Vas a trabajar dentro de un squad multidisciplinario , acompañado/a por referentes técnicos, desarrollando modelos de Machine Learning tradicional aplicados a problemáticas reales de negocio en entornos productivos. El desafío combina profundidad técnica, autonomía y capacidad para interactuar con áreas de negocio no técnicas, traduciendo necesidades concretas en soluciones analíticas de alto impacto. ¿Qué vas a hacer? - Desarrollar modelos de Machine Learning descriptivos, predictivos, de forecasting e inferencia . - Ejecutar el ciclo completo de ML: exploración, diseño, prototipado, validación y puesta en producción (PoC → MVP → Piloto → Producción). - Programar en Python siguiendo buenas prácticas (testing, versionado, documentación). - Trabajar sobre Azure , utilizando principalmente Azure Machine Learning y Azure Synapse para entrenamiento y despliegue. - Colaborar con áreas de negocio para entender requerimientos y convertirlos en soluciones técnicas. - Participar en reuniones con stakeholders no técnicos, explicando modelos, decisiones y resultados de forma clara. - Documentar desarrollos técnicos de manera ordenada y mantenible. - Trabajar en equipo bajo metodologías Agile , coordinando entregas con el squad. - Mantenerte actualizado/a en prácticas de analítica avanzada y herramientas de Azure. ¿Qué buscamos en vos? - Entre 3 y 5 años de experiencia en roles de Data Science (el seniority puede variar según profundidad técnica). - Perfil 100% técnico y hands-on : no es un rol de liderazgo ni de gestión. - Autonomía para trabajar de punta a punta en modelos de ML. - Experiencia real aplicando modelos en contextos productivos o semi-productivos. - Capacidad para comunicar resultados a perfiles no técnicos. Stack tecnológico (mandatorio) Lenguajes y herramientas - Python - SQL - Git Cloud - Azure (excluyente) Azure Machine Learning Azure Synapse Librerías / Frameworks - Scikit-learn - PyTorch - Matplotlib / Seaborn - Jupyter Notebook Dev / MLOps - Versionado con Git (excluyente) - Deseable: GitHub, GitLab o Azure DevOps - Deseable: monitoreo de modelos en Azure ML Conocimientos que suman - Metodologías ágiles. - Power BI, Tableau o Grafana (no excluyente). - Plataformas como Databricks o Domino. - Interés o conocimientos básicos en GenAI (no es el foco del rol). - Modelado estadístico avanzado. - Experiencia previa en industrias reguladas o intensivas en datos (plus). Formación académica - Carreras STEM: Ingeniería, Sistemas, Matemática, Estadística, Actuarial, Economía o afines. - Formación universitaria o de posgrado en Data Science (excluyente) . - No se consideran perfiles con solo cursos online o bootcamps. - Se evaluarán conocimientos técnicos durante el proceso. Idioma - Inglés intermedio / avanzado (lectura, escritura y conversación). Modalidad de trabajo - Full remote, con preferencia por asistir 1 vez por semana a oficina para reunión de equipo. - Se consideran candidatos/as del interior del país. - Horario: lunes a viernes de 9 a 18 hs . - No hay guardias, horas extra ni soporte de fin de semana. Equipo - Integración a un squad regional de Data Science . - Sin personas a cargo. - Acompañamiento y mentoring por parte de Data Science Leads para un onboarding ágil y sólido. - Exposición gradual a stakeholders regionales, siempre con soporte del equipo. Kit Empleo",N/A,https://www.opcionempleo.com.ar/jobad/ar35e08ca512ed21dee0aefa7a417ff929,Data Scientist,opcionempleo,2026-09-14T17:27:21.482779,,,,
