rank_embed,id_consolidado,fuente,titulo,empresa,keyword,ubicacion,modalidad,url,similitud_embed
1,opcionempleo::jobadarb10f0e39a08e9f4762f2db10b42d067a,opcionempleo,Responsable de Administración y Finanzas - Rubro Salud (Santa Fe de la Vera Cruz),LUMINA ✨ Consultora de Talento,Finanzas / CAPEX,Santa Fe,,https://www.opcionempleo.com.ar/jobad/arb10f0e39a08e9f4762f2db10b42d067a,0.6244134
2,opcionempleo::2635801,opcionempleo,Coordinador de Control De Gestion (Buenos Aires),Newsan,Control de Gestión,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/areccf663a96b2635801cd0a7022c97eeb,0.59327364
3,opcionempleo::jobadar2edc5387bfc7b6f0054cdeac752be951,opcionempleo,Analista Sr de Control de Gestión (Buenos Aires),Vanguardia Consultores RR.HH,Control de Gestión,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/ar2edc5387bfc7b6f0054cdeac752be951,0.5893526
4,opcionempleo::jobadar8b2f2ac25ea3e9ec645d09d82e63c1e3,opcionempleo,Sub Gerente / Restaurante / Full Time/ Zona Caba (Buenos Aires),Gulcan Dengeli,Gerente de Operaciones,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/ar8b2f2ac25ea3e9ec645d09d82e63c1e3,0.5840316
5,opcionempleo::jobadar66aed93e40c130db41ff43b787c29dfc,opcionempleo,Responsable de Administración y Finanzas - AgroGanadería (Buenos Aires),Talent Recruiters,Finanzas / CAPEX,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/ar66aed93e40c130db41ff43b787c29dfc,0.5684531
6,opcionempleo::9761679179,opcionempleo,Asistente Administrativo Contable – Carrera y Excel Avanzado (Buenos Aires),VM RRHH Consulting,Excel / VBA,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/ar216b211d1a2455e9761679179dbdf3bb,0.56803364
7,opcionempleo::063892,opcionempleo,Growth Business Consulting,Havas Argentina,BI / Analytics,Santa Fe,,https://www.opcionempleo.com.ar/jobad/ar14dff063892ac1db3ae114c07b2efec1,0.5610721
8,opcionempleo::09238,opcionempleo,Customer Service Logistics - Supply Chain (Vicente López),Newsan,Supply Chain,"Vicente López, Provincia de Buenos Aires",,https://www.opcionempleo.com.ar/jobad/arbfe4657d4f846d56dc8e085b5e09238a,0.55560595
9,opcionempleo::04776,opcionempleo,Analista de Planeamiento y Control de Gestión (General Rodríguez),La Serenísima,Control de Gestión,"General Rodríguez, Provincia de Buenos Aires",,https://www.opcionempleo.com.ar/jobad/ar04776d28634f95fa6a380c34936e491d,0.5478478
10,opcionempleo::4136152,opcionempleo,Analista de Business Intelligence (BI) // BI Engineer (San Isidro),BITEL,BI / Analytics,Argentina,,https://www.opcionempleo.com.ar/jobad/ar6011e4136152ae678883576bd37489ee,0.5475875
11,opcionempleo::028542,opcionempleo,Supervisor de Finanzas (Buenos Aires),Suizo Argentina,Finanzas / CAPEX,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/ar6f84f5ae028542ed64444ab5a7c36a2e,0.5343895
12,opcionempleo::70344484068,opcionempleo,Sr Business Development Analyst (Buenos Aires),Despegar,BI / Analytics,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/ar6b70344484068f3c272a5d912d175312,0.52048934
13,opcionempleo::579749,opcionempleo,Sr Python Developer (Buenos Aires),KIU System Solutions,Python Developer,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/ar8cf4c15a579749f65a161728403920fd,0.51989263
14,opcionempleo::786648,opcionempleo,Analista de Planeamiento y Control de Gestión (Buenos Aires),Itba,Control de Gestión,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/ar7f41b53d5d786648fce5f2fe6f3a00e0,0.51932955
15,opcionempleo::367043,opcionempleo,Desarrollador Semi Senior Python / Laravel / Php Buenos Aires,Cecaitra,Python Developer,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/ar29c4fdcf2b57f3b3dfc367043db844da,0.51599693
16,opcionempleo::182540,opcionempleo,Ingeniero de Sistema de Control para minera de Jujuy,Capital Humano Salta Andrea Marton Agustina Castro,Ingeniero Industrial,"Susques, Jujuy",,https://www.opcionempleo.com.ar/jobad/ar7c182540d8265282df2a38a4c12391dd,0.5140083
17,opcionempleo::27124445,opcionempleo,GERENTE DE COMPRAS PARA CATEGORÍAS DE MODA - RECONOCIDA EMPRESA DE RETAIL. (Buenos Aires),Fashionrh,Compras / Procurement,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/ara52be27124445df21d96b6b38292c145,0.5090217
18,bumeran::1118108687,bumeran,Analista de compras,Punto y coma publicidad integral SA,Compras / Procurement,"Buenos Aires, Argentina",Presencial,https://www.bumeran.com.ar/empleos/analista-de-compras-punto-y-coma-publicidad-integral-sa-1118108687.html,0.49953106
19,opcionempleo::2276800,opcionempleo,Jefe de Supply Chain (Maipú) (Argentina),LA RURAL VINEDOS Y BODEGAS,Supply Chain,Argentina,,https://www.opcionempleo.com.ar/jobad/ar7c7d9187b2276800a48b5c4f4ba66b49,0.49841353
20,opcionempleo::jobadar11da49a7ea275d6916adbbcd8d3d3f52,opcionempleo,Analista En Auditoria Contable Y Control De Gestión Córdoba,Autocity,Control de Gestión,Argentina,,https://www.opcionempleo.com.ar/jobad/ar11da49a7ea275d6916adbbcd8d3d3f52,0.4968859
21,opcionempleo::734834,opcionempleo,Gestor de cobros Con excel avanzado,Grupo PROEDUCA,Excel / VBA,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/ar628c8a401c54c734834de27939f7e695,0.49505103
22,opcionempleo::jobadarc5ed221fc3cc068a0c98dee15d2f8cbe,opcionempleo,Jefe De Operaciones Buenos Aires,Fibro,Gerente de Operaciones,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/arc5ed221fc3cc068a0c98dee15d2f8cbe,0.48988646
23,opcionempleo::1941533,opcionempleo,Responsable De Control De Gestión (Neuquén),Patagonia Resources,Control de Gestión,Neuquén,,https://www.opcionempleo.com.ar/jobad/arde38ae88ae0ac1941533f0515f278fd2,0.47515437
24,opcionempleo::743475,opcionempleo,Pasante Universitario,Arcor,Excel / VBA,Córdoba,,https://www.opcionempleo.com.ar/jobad/ar4c1b8759ec743475e43f7f835846c453,0.47048414
25,opcionempleo::042728,opcionempleo,Gerente de logística & supply chain,MB Consultora de RRHH,Supply Chain,"Escobar, Provincia de Buenos Aires",,https://www.opcionempleo.com.ar/jobad/ar463cf042728c0d98d11a2b6d17465002,0.4694308
26,opcionempleo::129156,opcionempleo,Analista Ssr. de Business Intelligence (Buenos Aires),,BI / Analytics,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/arf129156d721e3afdbfe5cd17606278a3,0.4687705
27,opcionempleo::00454398,opcionempleo,Ingeniero de Sistema de Control,,Ingeniero Industrial,"Susques, Jujuy",,https://www.opcionempleo.com.ar/jobad/ar00454398f30eb4e1cb4e2a7730e1d334,0.46308282
28,opcionempleo::42399,opcionempleo,Gerente De Compras Y Abastecimiento Buenos Aires,ViaSano Salud,Compras / Procurement,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/ar885b20b6cabae42399e59b014091bebe,0.46260703
29,opcionempleo::jobadar095ef5dea1f4a28fa605b12e75d6fb8e,opcionempleo,Responsable de Administración y Finanzas (Rosario),Link Laboral Puerto Norte,Finanzas / CAPEX,"Rosario, Santa Fe",,https://www.opcionempleo.com.ar/jobad/ar095ef5dea1f4a28fa605b12e75d6fb8e,0.45805693
30,opcionempleo::74392,opcionempleo,Responsable de Administración y Finanzas Rosario(zona Oeste),Link Laboral Puerto Norte,Finanzas / CAPEX,"Rosario, Santa Fe",,https://www.opcionempleo.com.ar/jobad/arc74392e49753e29dcdadebc3e6573cec,0.45744213
31,opcionempleo::772471,opcionempleo,Pasante - Supply chain,Cargill,Supply Chain,"Rosario, Santa Fe",,https://www.opcionempleo.com.ar/jobad/ar83cd5ce50a772471d5e1e514f51cba1c,0.4548368
32,opcionempleo::73104867,opcionempleo,Jefe de proyecto/Desarrollador/Diseño Industrial para Metalurgica (ingeniero),RH Consultores,Ingeniero Industrial,"Merlo, Provincia de Buenos Aires",,https://www.opcionempleo.com.ar/jobad/ar435e73104867aa14077e980bc408d403,0.45425448
33,opcionempleo::jobadar485ede01d762e124f46dece15eb79f23,opcionempleo,Senior Dev With Python Y React,Lean Improvements,Python Developer,"Venado Tuerto, Santa Fe",,https://www.opcionempleo.com.ar/jobad/ar485ede01d762e124f46dece15eb79f23,0.45190918
34,opcionempleo::69390464,opcionempleo,"Desarrollador Python Senior, Remoto Argentina, Id #00229 Mar Del Plata",Werben HR,Python Developer,"Mar del Plata, Provincia de Buenos Aires",,https://www.opcionempleo.com.ar/jobad/ard69390464fbb028d021ac47b00de2fc4,0.4446389
35,opcionempleo::01992,opcionempleo,"Desarrollador Python Senior, Remoto Argentina, Id #00229 Mendoza",Werben HR,Python Developer,Mendoza,,https://www.opcionempleo.com.ar/jobad/ard10bfd7255c1d731f01992c61550f81a,0.444632
36,opcionempleo::25898199,opcionempleo,"Desarrollador Python Senior, Remoto Argentina, Id #00229 Lomas De Zamora",Werben HR,Python Developer,"Lomas de Zamora, Provincia de Buenos Aires",,https://www.opcionempleo.com.ar/jobad/ar58a4d5e0ba08b25898199b271a5d1cf7,0.44463015
37,opcionempleo::0926561153462,opcionempleo,"Desarrollador Python Senior, Remoto Argentina, Id #00229 Zárate",Werben HR,Python Developer,"Zárate, Provincia de Buenos Aires",,https://www.opcionempleo.com.ar/jobad/ar5609b4c7e0926561153462f321177f29,0.44458368
38,opcionempleo::jobadarc5bc86a307bf1a0fe954b77ae6f403d0,opcionempleo,"Desarrollador Python Senior, Remoto Argentina, Id #00229 Pilar",Werben HR,Python Developer,"Pilar, Provincia de Buenos Aires",,https://www.opcionempleo.com.ar/jobad/arc5bc86a307bf1a0fe954b77ae6f403d0,0.44453758
39,opcionempleo::06599027025,opcionempleo,"Desarrollador Python Senior, Remoto Argentina, Id #00229 San Juan",Werben HR,Python Developer,San Juan,,https://www.opcionempleo.com.ar/jobad/ar219bf2f7ca06599027025ddd5c4cfb97,0.4445263
40,opcionempleo::7990455,opcionempleo,"Desarrollador Python Senior, Remoto Argentina, Id #00229 San Luis",Werben HR,Python Developer,San Luis,,https://www.opcionempleo.com.ar/jobad/ar57bb2e7990455c0a8d98ab9e8940c474,0.44444633
41,linkedin::4399442828,linkedin,Fullstack JavaScript Developer - Latin America - Remote,Azumo,Python Developer,"Rosario, Santa Fe",,https://www.linkedin.com/jobs/view/4399442828,0.44443965
42,opcionempleo::01257,opcionempleo,"Desarrollador Python Senior, Remoto Argentina, Id #00229 Quilmes",Werben HR,Python Developer,"Quilmes, Provincia de Buenos Aires",,https://www.opcionempleo.com.ar/jobad/arf8ae890cd01257d3834f77b59c6dcce2,0.44438022
43,opcionempleo::4985828,opcionempleo,Control De Gestión / Costos Buenos Aires,Pan American Energy,Control de Gestión,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/ara4985828f160a558191a7d55b5ff35d8,0.44334465
44,opcionempleo::86030553,opcionempleo,Gerente de Supply Chain (Provincia de Buenos Aires),Knauf,Supply Chain,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/ar24e00e1b86030553f9a4d78c3b2ce249,0.43943778
45,bumeran::1118201246,bumeran,Analista de Control de Gestión Logístico,GA.Ma Italy,Control de Gestión,"San Isidro, Buenos Aires",Híbrido,https://www.bumeran.com.ar/empleos/analista-de-control-de-gestion-logistico-ga.ma-italy-1118201246.html,0.43771577
46,opcionempleo::040511,opcionempleo,Tecnico de Servicio Maquinaria Pesada,Vanguardia Consultores RR.HH,Excel / VBA,"Grand Bourg, Provincia de Buenos Aires",,https://www.opcionempleo.com.ar/jobad/ar040511ec85a7bb7010ef9edbb286147b,0.43635714
47,opcionempleo::16359,opcionempleo,Planificador/a y Programador/a de Mantenimiento,Grassi SA,Excel / VBA,Santa Fe,,https://www.opcionempleo.com.ar/jobad/ar16359cab65b8ac2ffe0ebcb5fb8c9fe1,0.43487886
48,opcionempleo::16452088,opcionempleo,Ingeniero De Automatización Industrial Buenos Aires,Somos Yellow,Ingeniero Industrial,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/ar7211a85caa34e16452088f0db4625d8f,0.43221983
49,opcionempleo::jobadar07dfda58d3eff2b289ae50bd24a50b53,opcionempleo,Líder De Finanzas Y Operación Hotelera Patagonia Austral Ref El Calafate,Nosotros,Finanzas / CAPEX,"El Calafate, Santa Cruz",,https://www.opcionempleo.com.ar/jobad/ar07dfda58d3eff2b289ae50bd24a50b53,0.43005595
50,opcionempleo::jobadar8969b3dcc6c0b7bc21e83d63de3262d9,opcionempleo,Associate Business Intelligence Developer (Buenos Aires),Assurant,BI / Analytics,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/ar8969b3dcc6c0b7bc21e83d63de3262d9,0.4264037
51,linkedin::4395867261,linkedin,Data Scientist,Analytica,Data Scientist,"Bethesda, Maryland, Estados Unidos",,https://www.linkedin.com/jobs/view/4395867261,0.42109993
52,opcionempleo::jobadar80e844c9dbcc52d32e617e1a815e6fdd,opcionempleo,Analista Adm. contratos y presupuestos-Exclusivo personas con discapacidad,Coca-Cola FEMSA,Excel / VBA,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/ar80e844c9dbcc52d32e617e1a815e6fdd,0.41982612
53,bumeran::1118130320,bumeran,Analista de Compras Sr,AV Evoluciona Consultoría,Compras / Procurement,"Gran Buenos Aires, Buenos Aires",Híbrido,https://www.bumeran.com.ar/empleos/analista-de-compras-sr-av-evoluciona-consultoria-1118130320.html,0.41977438
54,opcionempleo::44261,opcionempleo,Analista de Control de Gestion Hhc (Munro),Air Liquide,Control de Gestión,Argentina,,https://www.opcionempleo.com.ar/jobad/are7b0ce2e3c0d1bf088c6e44261a38944,0.41882104
55,opcionempleo::jobadar569faa4facf1deb4a6e88e60ae81cf4f,opcionempleo,Consultor Funcional Finanzas (Buenos Aires),Witbor,Finanzas / CAPEX,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/ar569faa4facf1deb4a6e88e60ae81cf4f,0.4152139
56,opcionempleo::jobadarde22f558ffc9faced08d086d672a354b,opcionempleo,Responsable de Compras (Quilmes),MCO Nexo Laboral,Compras / Procurement,"Quilmes, Provincia de Buenos Aires",,https://www.opcionempleo.com.ar/jobad/arde22f558ffc9faced08d086d672a354b,0.41486362
57,opcionempleo::126826685,opcionempleo,Ingeniero industrial Especialista en compras,TERCOM SRL,Ingeniero Industrial,Argentina,,https://www.opcionempleo.com.ar/jobad/arfd003f5fb126826685e8e847a7a5f27e,0.41330788
58,linkedin::4398550762,linkedin,Manager of Customer Success,Connexall,Continuous Improvement,Estados Unidos,,https://www.linkedin.com/jobs/view/4398550762,0.41268438
59,bumeran::1118181842,bumeran,"Jefe/a de Administración, Contabilidad y Finanzas",Confidencial,Finanzas / CAPEX,CABA,Presencial,https://www.bumeran.com.ar/empleos/jefe-a-de-administracion-contabilidad-y-finanzas-1118181842.html,0.41033405
60,linkedin::4394335081,linkedin,SAP Finance Expert SM016DL,Coderio | Software Company,BI / Analytics,"Rosario, Santa Fe",,https://www.linkedin.com/jobs/view/4394335081,0.4097574
61,opcionempleo::jobadar9b68a5c0317c9a9fd6165f48cf8ab166,opcionempleo,Gestor de cobros Con excel avanzado (Buenos Aires),Grupo PROEDUCA,Excel / VBA,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/ar9b68a5c0317c9a9fd6165f48cf8ab166,0.4090965
