rank_final,id_consolidado,fuente,titulo,empresa,keyword,ubicacion,modalidad,url,score_final,similitud_embed,similitud_tfidf,rank_embed,rank_tfidf
1,opcionempleo::20118,opcionempleo,Desarrollador Full Stack Junior (Presencial),Julio Bellone Y Asociados,Desarrollador Full Stack,Córdoba,,https://www.opcionempleo.com.ar/jobad/ar2ba2b83b9c20118c1bd03e8ae68c55c0,0.7783549870895764,0.61031574,0.0486663107408007,1,433
2,opcionempleo::jobadar13e060fd6191c59dc66dcf7d1dc20ea4,opcionempleo,Senior Data Analytics Engineer,MercadoLibre,Data Engineer,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/ar13e060fd6191c59dc66dcf7d1dc20ea4,0.7637686247450534,0.48839328,0.1339425519203413,15,14
3,opcionempleo::09989604,opcionempleo,Sr Software Engineer -Platform Services (Mysql),MercadoLibre,Software Engineer,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/ar6d2b8144cb09989604e325f733091be1,0.7315845098862608,0.55269396,0.0642012147584788,5,199
4,bumeran::1118385278,bumeran,Programador/a JAVA Senior – APIs,David Rochwarger,Software Engineer,CABA,Híbrido,https://www.bumeran.com.ar/empleos/programador-a-java-senior--apis-david-rochwarger-1118385278.html,0.716075133115619,0.5726543,0.0391242951423074,2,611
5,opcionempleo::jobadar9aeb25fb081ab875c42ccd7589e906fe,opcionempleo,Desarrollador Full Stack,Itrio,Desarrollador Full Stack,Mendoza,,https://www.opcionempleo.com.ar/jobad/ar9aeb25fb081ab875c42ccd7589e906fe,0.6880855051617716,0.5655371,0.0272467632952338,4,803
6,linkedin::4450163523,linkedin,Analista de datos y control presupuestario,Scienza Argentina,Data Analyst,"Buenos Aires, Argentina",,https://www.linkedin.com/jobs/view/4450163523,0.6786167017009781,0.35233214,0.1863301081978283,248,1
7,opcionempleo::546254,opcionempleo,Senior Bi & Data Analyst — Ai Dashboards On Aws Quicksight,MaxIT Consulting - Max Corporate Group,Data Analyst,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/ar546254a103664e010186e6810154a59f,0.6768357956869661,0.56768847,0.0185949715663605,3,960
8,opcionempleo::2336868,opcionempleo,Cyber Security Software Engineer - Incident Response & Risk,MercadoLibre,Software Engineer,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/ar0daee0c2ba10b38d6521e2336868f983,0.6755437418928165,0.523095,0.0522960640699201,7,368
9,opcionempleo::20135,opcionempleo,Sr Software Engineer - It Taxes,MercadoLibre,Software Engineer,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/ar20135e36bde876350b19e956b6a3229f,0.6678175005838716,0.497409,0.067371484041299,13,167
10,opcionempleo::9613396084,opcionempleo,Desarrollador Senior NoSQL MongoDB + Backend C# (Villa Crespo),Cognit Labs,Desarrollador Backend,"Villa Crespo, Buenos Aires",,https://www.opcionempleo.com.ar/jobad/ar85debc3595b25c141f55c9613396084f,0.6632187251196149,0.5065063,0.057476271475638,9,285
11,opcionempleo::95642,opcionempleo,Data Analyst / Bi Developer Ssr Con Ai – Aws Quicksight,MaxIT Consulting - Max Corporate Group,Data Analyst,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/ar9a255c95a0900afcd925cba95642b0a4,0.6576754655689366,0.5499842,0.0203929204200731,6,923
12,opcionempleo::5658095,opcionempleo,Data Analyst Senior (Buenos Aires),KPMG,Data Analyst,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/ard712a5658095c38ba5bf50cb44ed648f,0.6542309745402562,0.51263666,0.0471506941341127,8,466
13,linkedin::4454317091,linkedin,Risk Data Science,Prex,Data Scientist,Argentina,,https://www.linkedin.com/jobs/view/4454317091,0.6414938922205565,0.4612639,0.078988658221018,22,101
14,opcionempleo::63327,opcionempleo,Ingeniero tecnico funcional Microsoft Fabric y Power BI (San Nicolás),C\u0026S informatica,Ingeniero de Datos,"San Nicolás, Buenos Aires",,https://www.opcionempleo.com.ar/jobad/ar64b46b6617c9e63327af816e80bd3b5f,0.6393637029880824,0.47185493,0.0694709322940197,20,153
15,opcionempleo::44555,opcionempleo,Sr Software Engineer Genai Security,MercadoLibre,Software Engineer,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/arbfe44555b97ab2fd38b0499adf5e1dbd,0.6335803341102633,0.50079304,0.0434884129245225,12,531
16,opcionempleo::jobadar26adbf50e89aafa45a9cbfc49bfb5e32,opcionempleo,Data Scientist Ssr/Sr - Id,Werben HR,Data Scientist,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/ar26adbf50e89aafa45a9cbfc49bfb5e32,0.6273251667070892,0.4873848,0.0499777685320231,17,411
17,opcionempleo::jobadar80a0bd463eb083e3eda0e2c61bbaee42,opcionempleo,Data Scientist Project Leader - It Fraude,MercadoLibre,Data Scientist,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/ar80a0bd463eb083e3eda0e2c61bbaee42,0.6243271428656149,0.49008703,0.0460248813342646,14,489
18,opcionempleo::4940758884,opcionempleo,Senior Backend Software Engineer- Search Ads Core - It,MercadoLibre,Software Engineer,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/ar2cc646ed4940758884ad61beb6007524,0.6242721766134619,0.5021702,0.0366415542293323,10,644
19,opcionempleo::jobadar016c169e75b7074c3dda9bb42c1fd05d,opcionempleo,Sr Software Engineer Backend- Search Ads Core,MercadoLibre,Software Engineer,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/ar016c169e75b7074c3dda9bb42c1fd05d,0.6223849034728053,0.5011151,0.0362857373971436,11,652
20,opcionempleo::jobadar7b9a1bedcb19ec124cbbda1590bd6070,opcionempleo,Software Engineer,ITR,Software Engineer,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/ar7b9a1bedcb19ec124cbbda1590bd6070,0.6169031167087472,0.45881882,0.0656071658944083,23,185
21,opcionempleo::jobadar3fc49daa4d6fec20bd658dc899a4fa41,opcionempleo,Senior Data Scientist Engineer - Prevención De Fraude It,MercadoLibre,Data Scientist,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/ar3fc49daa4d6fec20bd658dc899a4fa41,0.6136050428773615,0.487861,0.04108774143529,16,577
22,opcionempleo::jobadar8f16f26e238e677a3a3fe37a837c49d9,opcionempleo,Ingeniero/a Logístico/a (Rosario),Grupo Gestión,Ingeniero de Datos,"Rosario, Santa Fe",,https://www.opcionempleo.com.ar/jobad/ar8f16f26e238e677a3a3fe37a837c49d9,0.6040264733274775,0.3381053,0.151009913346332,301,8
23,opcionempleo::2520428,opcionempleo,Ingeniero de Proceso (req209393) - Eventual (Bahía Blanca),Manpower,Ingeniero de Datos,"Bahía Blanca, Provincia de Buenos Aires",,https://www.opcionempleo.com.ar/jobad/ar0e61db8dba2beb4405a8c2520428d454,0.6027358682881849,0.3611393,0.1323860755890183,213,15
24,opcionempleo::66421,opcionempleo,Ingeniero Mecánico de Proyecto (req209389) - Eventual (Bahía Blanca),Manpower,Ingeniero de Datos,"Bahía Blanca, Provincia de Buenos Aires",,https://www.opcionempleo.com.ar/jobad/arb1c3f66421fb6d8b7127e23ee99cec7d,0.6027038020205758,0.4225548,0.0848467559722271,55,85
