rank_tfidf,id_consolidado,fuente,titulo,empresa,keyword,ubicacion,modalidad,url,similitud_tfidf,idioma
1,linkedin::4450163523,linkedin,Analista de datos y control presupuestario,Scienza Argentina,Data Analyst,"Buenos Aires, Argentina",,https://www.linkedin.com/jobs/view/4450163523,0.1863301081978283,es
2,getonboard::analista-control-de-gestion-bnp-paribas-cardif-santiago,getonboard,Analista Control de Gestión,,Data Analyst,Chile,Híbrido,https://www.getonbrd.com/jobs/analista-control-de-gestion-bnp-paribas-cardif-santiago,0.1840429570138239,es
3,opcionempleo::2522622576,opcionempleo,Ingeniero/A De Proyectos Armx (Agregados & Hormigones),Lafarge Africa Plc,Ingeniero de Datos,Córdoba,,https://www.opcionempleo.com.ar/jobad/arf2522622576faaa3b02b8d716b2bddb8,0.1795821141551763,es
4,opcionempleo::18422,opcionempleo,Ingeniero/A De Proyectos Rmx,Lafarge Africa Plc,Ingeniero de Datos,Córdoba,,https://www.opcionempleo.com.ar/jobad/arac27d34e18422a2644df8ed4b5775086,0.17787677536982854,es
5,opcionempleo::jobadar742e22f0d73e576d6925ab2a34b65d71,opcionempleo,Ingeniero industrial JR. (Rosario),Consultores de Empresas,Ingeniero de Datos,"Rosario, Santa Fe",,https://www.opcionempleo.com.ar/jobad/ar742e22f0d73e576d6925ab2a34b65d71,0.16858565903365785,es
6,getonboard::kam-control-de-gestion-bnp-paribas-cardif-santiago,getonboard,KAM Control de Gestión,,Ingeniero de Datos,Chile,Híbrido,https://www.getonbrd.com/jobs/kam-control-de-gestion-bnp-paribas-cardif-santiago,0.15697623094096994,es
7,opcionempleo::68414,opcionempleo,Ingeniero De Confiabilidad De Área,Mars Uk,Ingeniero de Datos,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/ar096ddce90c91c68414c74945ee06b749,0.1512675850712747,es
8,opcionempleo::jobadar8f16f26e238e677a3a3fe37a837c49d9,opcionempleo,Ingeniero/a Logístico/a (Rosario),Grupo Gestión,Ingeniero de Datos,"Rosario, Santa Fe",,https://www.opcionempleo.com.ar/jobad/ar8f16f26e238e677a3a3fe37a837c49d9,0.15100991334633201,es
9,opcionempleo::jobadar8f037c8184adf02b690e4650cd9ac4bb,opcionempleo,Ingeniero/a Planificación Operativa (Buenos Aires),YPF,Ingeniero de Datos,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/ar8f037c8184adf02b690e4650cd9ac4bb,0.1460779308875896,es
10,bumeran::1118370503,bumeran,ingeniero junior de sistema de gestión integrado,Randstad Argentina,Software Engineer,"Rosario, Santa Fe",Presencial,https://www.bumeran.com.ar/empleos/ingeniero-junior-de-sistema-de-gestion-integrado-randstad-argentina-1118370503.html,0.14069796577915758,es
11,opcionempleo::59556390,opcionempleo,Ingeniero de Planta Metalúrgica Industrial (req208537)- Permanente (Rosario),Manpower,Ingeniero de Datos,"Rosario, Santa Fe",,https://www.opcionempleo.com.ar/jobad/ar59556390c5a0f5168ff141bc91d7fab4,0.13957239711491345,es
12,opcionempleo::90215,opcionempleo,Ingeniero Estimador de Costos Senior (Mendoza),WSP,Ingeniero de Datos,Mendoza,,https://www.opcionempleo.com.ar/jobad/ar8e098e4a90215f77fee1cb6f040b1bb3,0.13861310612446914,es
13,opcionempleo::jobadar336effb7087df70b01cc8f1b3f740fa5,opcionempleo,Ingeniero De Mejora Continua,Grupo Cepas,Ingeniero de Datos,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/ar336effb7087df70b01cc8f1b3f740fa5,0.1375047253459795,es
14,opcionempleo::jobadar13e060fd6191c59dc66dcf7d1dc20ea4,opcionempleo,Senior Data Analytics Engineer,MercadoLibre,Data Engineer,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/ar13e060fd6191c59dc66dcf7d1dc20ea4,0.13394255192034138,es
15,opcionempleo::2520428,opcionempleo,Ingeniero de Proceso (req209393) - Eventual (Bahía Blanca),Manpower,Ingeniero de Datos,"Bahía Blanca, Provincia de Buenos Aires",,https://www.opcionempleo.com.ar/jobad/ar0e61db8dba2beb4405a8c2520428d454,0.1323860755890183,es
16,jobrapido::5659524548920344576,jobrapido,Desarrollador Full Stack Senior (San Nicolás),C&S informática,Desarrollador Full Stack,CABA,,https://ar.jobrapido.com/jobpreview/5659524548920344576?redirectTo=https%253A%252F%252Fwww.kitempleo.com.ar%252Fempleo%252F53035996%252Fdesarrollador-full-stack-senior-san-nicolas&w=Python&p=5,0.12679755885085298,es
17,linkedin::4439979875,linkedin,Analista de Calidad y Gestión de Datos,CRESUD S.A.C.I.F.Y.A,Data Analyst,"Buenos Aires, Argentina",,https://www.linkedin.com/jobs/view/4439979875,0.12563006721798134,es
18,getonboard::vp-of-engineering-kastor-acp-s-a-santiago,getonboard,Head of Engineering Kastor,,Software Engineer,Chile,Híbrido,https://www.getonbrd.com/jobs/vp-of-engineering-kastor-acp-s-a-santiago,0.12542172823916195,es
19,opcionempleo::jobadar88aa0938c7875d110ca96fb7b090b0fd,opcionempleo,Especialista Del Dato,Aesa (A-Evangelista Sa),Ingeniero de Datos,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/ar88aa0938c7875d110ca96fb7b090b0fd,0.12410923407350789,es
20,opcionempleo::024194465507244,opcionempleo,Ingeniero electromecánico (Rosario),Consultores de Empresas,Ingeniero de Datos,"Rosario, Santa Fe",,https://www.opcionempleo.com.ar/jobad/ar911d94d820ce024194465507244d20ac,0.12398406370174624,es
21,getonboard::lider-operaciones-logisticas-agrosuper-rancagua,getonboard,Líder Operaciones Logísticas,,Data Analyst,Chile,Híbrido,https://www.getonbrd.com/jobs/lider-operaciones-logisticas-agrosuper-rancagua,0.1234910890244087,es
22,opcionempleo::43609,opcionempleo,Ingeniero Industrial - para empresa líder en el rubro del caucho (Rosario),Ceta Capital Humano,Ingeniero de Datos,"Rosario, Santa Fe",,https://www.opcionempleo.com.ar/jobad/ar43609fd44eec944c3223be48d7123153,0.12323973940039372,es
23,linkedin::4453465914,linkedin,Ssr. - Consultor de Datos,PwC Argentina,Data Engineer,Buenos Aires y alrededores,,https://www.linkedin.com/jobs/view/4453465914,0.11957045749286821,es
24,opcionempleo::931558,opcionempleo,Data Analyst,Experis,Data Analyst,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/ara5d20ea2126dcbb931558e6c42066e85,0.11836368252299244,es
25,linkedin::4426875646,linkedin,FP&A Data Analyst,Elevva,Data Analyst,"Buenos Aires, Argentina",,https://www.linkedin.com/jobs/view/4426875646,0.11720863021396405,es
26,zonajobs::2189140,zonajobs,Programador/a de Mantenimiento,Mec Consultores Asociados,Software Engineer,"Carcarañá, Santa Fe",Presencial,https://www.zonajobs.com.ar/empleos/programador-a-de-mantenimiento-mec-consultores-asociados-2189140.html,0.11610849771922355,es
27,linkedin::4461684214,linkedin,ANALISTA DE SEGUIMIENTO COMERCIAL,Banco Macro,Data Analyst,Buenos Aires y alrededores,,https://www.linkedin.com/jobs/view/4461684214,0.1156160407177907,es
28,opcionempleo::96112,opcionempleo,Arquitecto Python Semi Senior (San Nicolás),,Python Developer,"San Nicolás de los Arroyos, Provincia de Buenos Aires Buenos Aires",,https://www.opcionempleo.com.ar/jobad/ar96112ec8add0494c34fd0e7a14ab269d,0.11359737203393537,es
29,linkedin::4443914274,linkedin,Analista BI Retail,Increxa,Data Analyst,"Buenos Aires, Argentina",,https://www.linkedin.com/jobs/view/4443914274,0.11287858939747271,es
30,getonboard::consultor-sap-mm-lisit-santiago-6165,getonboard,Consultor SAP MM,,Data Analyst,Chile,Híbrido,https://www.getonbrd.com/jobs/consultor-sap-mm-lisit-santiago-6165,0.11262500085891992,es
31,getonboard::it-product-manager-tcit-santiago-7796,getonboard,IT Product Manager,,NLP Engineer,Chile,Híbrido,https://www.getonbrd.com/jobs/it-product-manager-tcit-santiago-7796,0.10812849406245315,es
